LANGUAGE_NAME_INTERNATIONAL = Turkish
LANGUAGE_NAME_LOCALE = Türkçe

CHAT = Sohbet
SAVE_AND_APPLY = Kaydet ve Uygula
CANCEL = Vazgeç

MALE = bay
FEMALE = bayan
UNDEFINED = tanımsız

PLAYERNAME = Oyuncu İsmi
CHANNELNAME = Kanal İsmi
STATIONMAP = İstasyon Haritası
DATABASE = Veritabanı
SOUND_OUTPUT = Ses Çıktısı
GRAPHICS = Grafik
MUSIC = Müzik
SFX = Ses Efektleri
FULLSCREEN = Tam Ekran
MULTIPLAYER = Çoklu Oyuncu
RENDERER = İşleyici
SOUND_ENGINE = Ses Motoru
DEFAULTS_FOR_NEW_GAME= "Yeni Oyun" için Varsayılanlar
PORT_ONLINEGAME = Internet Oyunu için Port

STARTHINT_TITLE1 = Program Planı
STARTHINT_TEXT1 = CTRL Tuşu, Programı Plana birden çok kez yerleştirmenizi sağlar. SHIFT Tuşu, Dizinin bir sonraki bölümünü yerleştirmenizi sağlar.
STARTHINT_TITLE2 = Program Planı
STARTHINT_TEXT2 = Yayının başarısı, programın Kalite/Reyting değerine çok bağlıdır. Ayrıca, programın yayın saati, Türün popularitesine, izleyicilerin takip eden (genellikle benzer) programa olan ilgilerine ve yayınlanan fragman miktarına bağlıdır. Haber yayınları ve diğer faktörler de başarıyı mutlaka etkiler.\n\n Komedi gibi bazı program türleri, yüksek güncellik içerse de diğer programlara göre daha yüksek sıklıkla yayınlanabilir.
STARTHINT_TITLE3 = Reklam Kontratları
STARTHINT_TEXT3 = Reklam Kontratları, en az izleyici sınırı ile tanımlanır. Reklamın getirisi ve cezası, kanalın ulaşabileceği en fazla izleyici potansiyeli ile bağlantılıdır. \n\n Bu nedenle bazen yeni istasyon anlaşması yapmadan önce kontratları imzalamak iyi olabilir.

CLOSES_AT_TIME = %TIME% olmadan önce...
CLOSES_AT_DAY = Kapatır: %TIME%

GAME_TITLE = Oyun Başlığı
START_YEAR = Başlangıç Yılı

GAME_TIME = Oyun Zamanı
GAMEDAY = Oyun Günü
BETTY_FEELINGS = Betty'nin sizin hakkınızdaki hisleri
THERE_IS_NO_LOVE_IN_THE_AIR_YET = Henüz havada aşk kokusu yok... ;)

PLEASE_BE_PATIENT = Lütfen, bekleyiniz
SAVEGAME_GETS_CREATED = Oyun kaydediliyor
SAVEGAME_GETS_LOADED = Oyun yükleniyor

PROGRAMMELICENCES = Program Lisansları
SELECT_LICENCES_FOR_SALE = Satılacak Lisansları Seçin


YES = Evet
NO = Hayır
MONEY = Bütçe
DEBT = Borç
REACH = Eriş
INCREASE = Arttır
PRICE = Fiyat
VALUE = Değer
BROADCASTING_AREA = Yayın Alanı

CURRENCY = €
OCLOCK =
DAY = gün
DAYS = gün
WEEK_SHORT_MONDAY		= pzt
ROOM_PSYCHIATRIST		= Psikiyatrist "Harry Dippl"
ROOM_COMPUTERSHOP		= Bilgisayar Ürünleri "SpySoft"
ROOM_AUCTION			= Açık Arttırma
ROOM_AUCTION_SUB		= Film ve Dizi Açık Arttırması
ROOM_SIZE				= Oda Büyüklüğü: %SIZE%

ABBREVIATION_THOUSAND = K
ABBREVIATION_MILLION = M
ABBREVIATION_BILLION = bn

BROADCASTING_OUTAGE		= Yayın Kesintisi !!
ADVERTISMENT			= Reklam
BLOCK					= blok
BLOCKS					= blok
NEWS					= Haberler
PROGRAMME				= Program
TV_OFF					= TV Kapalı!
TV_TURN_IT_ON			= TVyi tekrar açmalısınız... ;)
AUDIENCE_RATING			= İzleyici Reytingi
AUDIENCE_RATINGS		= İzleyici Reytingi
POTENTIAL_AUDIENCE_NUMBER	= Potansiyel İzleyici
AUDIENCE_NUMBER				= izleyici 
MIN_AUDIENCE			= En Az İzleyici
INVALID_BY_BROADCAST_OUTAGE = Geçersiz Yayın Kesintisi
NEXT_ADBLOCK			= Sonraki Reklam Bloğu
NEXT_PROGRAMME			= Sonraki Program
NEXT_NOTHINGSET			= tanımsız !

PROGRAMME_IN_PROGRAMME_PLAN = Plandaki Program!

AD_PROFIT				= Kar
AD_PLANNED				= planlı
AD_TOSEND				= yayınlanmalı
AD_PENALTY				= Tazminat
AD_MIN_AUDIENCE			= En Az İzleyici
AD_TARGETGROUP			= Hedef Grup
AD_SEND_TILL_TOLATE     = çok geç!!!
AD_SEND_TILL_MIDNIGHT   = Geceyarısına kadar yayınlanmalı !!
AD_SEND_TILL_TOMORROW   = Yarın Akşama kadar yayınlanmalı!

AD_TILL_TOLATE			= çok geç!!!
AD_TILL_TODAY			= bugüne kadar!!
AD_TILL_TOMORROW		= yarına kadar!
AD_STILL_X_DAYS			= halen %1 gününüz var
AD_TIME					= zaman

AD_CHANNEL_IMAGE_TO_LOW = Kanal İmajı çok düşük %CHANNELIMAGE%% < %IMAGE%%.
AD_PLEASE_GENRE_X = Lütfen, Tür: %GENRE%
AD_PLEASE_FLAG = Lütfen, %FLAG%

TARGETGROUP_ALL = Tümü
TARGETGROUP_CHILDREN	= Çocuk
TARGETGROUP_TEENAGERS = Genç
TARGETGROUP_HOUSEWIVES = Ev Hanımı
TARGETGROUP_EMPLOYEES = Çalışan
TARGETGROUP_UNEMPLOYED = İşsiz
TARGETGROUP_MANAGER = Yönetici
TARGETGROUP_PENSIONERS = Emekli
TARGETGROUP_WOMEN = Bayan
TARGETGROUP_MEN = Bay

AD_INFOMERCIAL			= Yayın durumuna göre ödeme yapılacaktır. Gelir izleyici sayısına göre değişir.
AD_INFOMERCIAL_NOT_AVAILABLE = Bu reklam için ödeme yoktur.
AD_INFOMERCIAL_PROFIT	= Gelir: %PROFIT% x her 1000 izleyici 


JOB_DIRECTOR		= Yönetmen
JOB_DIRECTORS		= Yönetmen
JOB_ACTOR			= Aktör
JOB_ACTORS			= Aktör
JOB_SUPPORTINGACTOR   = Yardımcı Aktör
JOB_SUPPORTINGACTORS  = Yardımcı Aktör
JOB_REPORTER          = Muhabir
JOB_REPORTERS         = Muhabir
JOB_GUEST             = Konuk
JOB_GUESTS            = Konuk
JOB_HOST              = Ev Sahibi
JOB_HOSTS             = Ev Sahibi
JOB_SCRIPT            = Senaryo
JOB_SCRIPTWRITER      = Senarist
JOB_SCRIPTWRITERS     = Senarist
JOB_MUSIC             = Müzik
JOB_MUSICIAN          = Müzisyen
JOB_MUSICIANS         = Müzisyen

MOVIE_SPEED				= Tempo
MOVIE_CRITIC			= Eleştiri
MOVIE_BOXOFFICE			= Gişe Hasılatı
MOVIE_TOPICALITY		= Güncellik
MOVIE_BLOCKS			= blok
MOVIE_XRATED			= +18
MOVIE_EPISODES			= bölüm
MOVIE_CAST              = Ekip
MOVIE_LEADINGACTOR      = Baş Aktör
MOVIE_SUPPORTINGACTOR   = Yardımcı Aktör

AD_QUALITY = Kalite

LICENCETYPE_SINGLE = Tek
LICENCETYPE_EPISODE = Bölüm
LICENCETYPE_COLLECTION = Koleksiyon
LICENCETYPE_SERIES = Dizi
LICENCETYPE_FRANCHISE = Bayilik

SERIES_WITH_X_EPISODES = %EPISODESCOUNT% bölümlük Dizi
SCRIPT_POTENTIAL = Potansiyel

PROGRAMME_GENRE_UNDEFINED = Çeşitli
PROGRAMME_GENRE_ADVENTURE = Macera
PROGRAMME_GENRE_ACTION = Aksiyon
PROGRAMME_GENRE_ANIMATION = Animasyon
PROGRAMME_GENRE_CRIME = Polisiye
PROGRAMME_GENRE_COMEDY = Komedi
PROGRAMME_GENRE_DOCUMENTARY = Belgesel
PROGRAMME_GENRE_DRAMA = Drama
PROGRAMME_GENRE_EROTIC = Erotik
PROGRAMME_GENRE_FAMILY = Aile
PROGRAMME_GENRE_FANTASY = Kurgu
PROGRAMME_GENRE_HISTORY = Tarihi
PROGRAMME_GENRE_HORROR = Korku
PROGRAMME_GENRE_MONUMENTAL = Anıtsal
PROGRAMME_GENRE_MYSTERY = Gizem
PROGRAMME_GENRE_ROMANCE = Romantik
PROGRAMME_GENRE_SCIFI = Bilim Kurgu
PROGRAMME_GENRE_THRILLER = Gerilim
PROGRAMME_GENRE_WESTERN = Vahşi Batı
PROGRAMME_GENRE_DOCUMENTARIES_AND_FEATURES= Belgesel & Kültürel
PROGRAMME_GENRE_SHOW_AND_EVENTS= Şovlar & Etkinlikler
PROGRAMME_GENRE_SHOW= Şov
PROGRAMME_GENRE_SHOW_MUSIC= Müzik Şov
PROGRAMME_GENRE_SHOW_POLITICS= Politik Sohbet
PROGRAMME_GENRE_EVENT= Etkinlik
PROGRAMME_GENRE_EVENT_POLITICS= Politika
PROGRAMME_GENRE_EVENT_SPORT= Spor
PROGRAMME_GENRE_EVENT_SHOWBIZ= Eğlence
PROGRAMME_GENRE_EVENT_MUSIC = Müzik & Konser
PROGRAMME_GENRE_FEATURE= Kültürel
PROGRAMME_GENRE_FEATURE_YELLOWPRESS= Magazin Basını

PROGRAMME_FLAG_LIVE = Canlı
PROGRAMME_FLAG_ANIMATION = Animasyon
PROGRAMME_FLAG_CULTURE = Kültür
PROGRAMME_FLAG_CULT = Ekol
PROGRAMME_FLAG_TRASH = İşe Yaramaz
PROGRAMME_FLAG_BMOVIE = Düşük Bütçeli
PROGRAMME_FLAG_XRATED = +18
PROGRAMME_FLAG_PAID = Ücretli Program
PROGRAMME_FLAG_SERIES = Dizi tarzı
PROGRAMME_FLAG_SCRIPTED = Senaryolu Şov

PROGRAMME_PRODUCT_UNDEFINED = Tanımsız
PROGRAMME_PRODUCT_MOVIE = Film
PROGRAMME_PRODUCT_SERIES = Dizi
PROGRAMME_PRODUCT_SHOW = Şov
PROGRAMME_PRODUCT_FEATURE = Kültürel
PROGRAMME_PRODUCT_INFOMERCIAL = Bilgi Amaçlı Reklam
PROGRAMME_PRODUCT_EVENT = Etkinlik
PROGRAMME_PRODUCT_MISC = Çeşitli

MOVIE_CALLINSHOW		= Her 1.000 İzleyici başına %PROFIT% kazanacaksınız.
MOVIE_TRAILER			= Gelecek yayın ile ilgili Fragman yayınlamanız ilgiyi arttırabilir.

AUCTION_MAKE_BID = Teklif
AUCTION_WITHOUT_BID = Teklifsiz

CLICK_ON_MOVIE_OR_SERIES_TO_PLACE_BID= Teklif vermek için Film veya Diziye tıklayınız.

ERROR_NOT_POSSIBLE					= Yapılamaz!
ERROR_NOT_ABLE_TO_SELL_LAST_STATION = Sahip olduğunuz tek İstasyonu satamazsınız.
ERROR_NOT_ENOUGH_MONEY		      	= Yetersiz bütçe!
ERROR_NOT_ENOUGH_MONEY_TEXT 		= Bu işlemi tamamlamak için yeterli bütçeniz yok.

FINANCES_EXPENSES     = Gider
FINANCES_INCOME       = Gelir

FINANCES_LAST_FINANCIAL_ACTIVITIES = Son Mali Hareketler
FINANCES_FINANCIAL_CURVES = Mali gelişmeler
FINANCES_TRADING_PROGRAMMELICENCES = Program Lisans Ticareti
FINANCES_AD_INCOME__CONTRACT_PENALTY = Reklam Geliri / Kontrat Tazminat
FINANCES_CALL_IN_SHOW_INCOME = Telefonla Sohbet Şovu Gelirleri
FINANCES_SPONSORSHIP_INCOME__PENALTY = Sponsorluk: Gelir / Tazminat
FINANCES_STATIONS =  İstasyon
FINANCES_STATIONS_FEES =  İstasyon: Bakım
FINANCES_STATIONS_BUY_SELL =  İstasyon: Satış / Alış
FINANCES_CREDIT_TAKEN__REPAYED = Kredi: Yeni / Ödenmiş
FINANCES_SCRIPTS = Senaryo
FINANCES_ACTORS_AND_PRODUCTIONSTUFF = Aktör ve Prodüksiyon
FINANCES_STUDIO_RENT = Stüdyo Kira
FINANCES_NEWS = Haber
FINANCES_NEWSAGENCIES = Haber Ajansı
FINANCES_INTEREST_BALANCE__CREDIT = Faiz: Bakiye / Kredi
FINANCES_MISC = Çeşitli
FINANCES_TOTAL = Toplam

FINANCES_HISTORY_FOR_CREDITREPAID = Kredi Geri Ödeme
FINANCES_HISTORY_FOR_CREDITTAKEN = Kredi Alma
FINANCES_HISTORY_FOR_STATIONBOUGHT = istasyon alımı
FINANCES_HISTORY_FOR_STATIONSOLD = istasyon satışı
FINANCES_HISTORY_OF_STATIONFEES = istasyon ücresi
FINANCES_HISTORY_FOR_MISC = çeşitli
FINANCES_HISTORY_FOR_PROGRAMMELICENCE = Program: %TITLE%
FINANCES_HISTORY_FOR_AUCTIONBID = Arttırma: %TITLE%
FINANCES_HISTORY_FOR_AUCTIONBIDREPAYED = Arttırma için İade: %TITLE%
FINANCES_HISTORY_OF_CALLERREVENUE = Telefon Şovu Geliri
FINANCES_HISTORY_OF_INFOMERCIALREVENUE = Reklam Programı Geliri
FINANCES_HISTORY_OF_ADPROFIT = Reklam Geliri: %TITLE%
FINANCES_HISTORY_OF_SPONSORSHIPREVENUE = Sponsorluk
FINANCES_HISTORY_OF_PENALTY = kontrat tazminatı
FINANCES_HISTORY_FOR_SCRIPT = Senaryo: %TITLE%
FINANCES_HISTORY_FOR_PRODUCTIONSTUFF = Prodüksiyon için
FINANCES_HISTORY_FOR_RENT = Kira için
FINANCES_HISTORY_FOR_NEWS = Haber: %TITLE%
FINANCES_HISTORY_FOR_NEWSAGENCY = Haber Ajansı için
FINANCES_HISTORY_OF_CREDITINTEREST = kredi faizi
FINANCES_HISTORY_OF_DRAWINGCREDITINTEREST = kredi faizi ödeme
FINANCES_HISTORY_OF_BALANCEINTEREST = bakiye faizi
FINANCES_HISTORY_FOR_SOMETHING = herhangi birşey için

IMAGE_REACH = Erişim
IMAGE_SHARETOTAL = Paylaşım toplamı
IMAGE_SHAREWITHPLAYER = %PLAYERNAME% ile paylaşım

NEWSSTUDIO_NOT_SUBSCRIBED					= Henüz abone değil
NEWSSTUDIO_SUBSCRIBE_GENRE_LEVEL			= Abonelik tarz seviyesi
NEWSSTUDIO_SUBSCRIPTION_LEVEL				= Abonelik seviyesi
NEWSSTUDIO_DONT_SUBSCRIBE_GENRE_ANY_LONGER	= Aboneliği iptal et
NEWSSTUDIO_NEXT_SUBSCRIPTION_LEVEL			= Sonraki abonelik seviyesi
NEWSSTUDIO_YOU_ALREADY_USED_LEVEL_AND_THEREFOR_PAY = Bugün en yüksek seviye olan %MAXLEVEL% abonelik seviyesine ulaştınız. Ve bugün ödeyeceğiniz para; %TOPAY%.

MAP_COUNTRY_BREMEN				=	Bremen
MAP_COUNTRY_BERLIN				=	Berlin
MAP_COUNTRY_HAMBURG				=	Hamburg
MAP_COUNTRY_BAWUE				=	Baden-Wuerttemberg
MAP_COUNTRY_BAYERN				=	Bavaria
MAP_COUNTRY_SAARLAND			=	Saarland
MAP_COUNTRY_RHEINLANDPFALZ		=	Rhineland-Palatinate
MAP_COUNTRY_HESSEN				=	Hesse
MAP_COUNTRY_THUERINGEN			=	Thuringia
MAP_COUNTRY_SACHSEN				=	Saxony
MAP_COUNTRY_SACHSENANHALT		=	Saxony-Anhalt
MAP_COUNTRY_NIEDERSACHSEN		=	Lower Saxony
MAP_COUNTRY_SCHLESWIGHOLSTEIN	=	Schleswig-Holstein
MAP_COUNTRY_BRANDENBURG			=	Brandenburg
MAP_COUNTRY_NRW					=	North Rhine-Westphalia
MAP_COUNTRY_MECKPOM				=	Mecklenburg-Hither Pomerania


NEWS_ANNOUNCE_MOVIE_ACTOR_IS_DIRECTOR_TITLE	= %DIRECTORNAME1% isimli yönetmenin yaptığı Yeni Film
NEWS_ANNOUNCE_MOVIE_ACTOR_IS_DIRECTOR_DESCRIPTION	= Yönetmen ve Baş Aktör %DIRECTORNAME1% , yeni filmi «%MOVIETITLE%» ile çıkıyor.

NEWS_ANNOUNCE_MOVIE_NO_ACTOR_TITLE	= Yakında sinemalarda: «%MOVIETITLE%»
NEWS_ANNOUNCE_MOVIE_NO_ACTOR_DESCRIPTION	= Yönetmen %DIRECTORNAME1% , yeni filmi «%MOVIETITLE%» ile en yakın sinemada.

NEWS_ANNOUNCE_MOVIE_TITLE1	= %ACTORNAME1% yeni filmi...
NEWS_ANNOUNCE_MOVIE_TITLE2	= %DIRECTORNAME1% yeni bir film yönetti.

NEWS_ANNOUNCE_MOVIE_DESCRIPTION1	= Yönetmen %DIRECTORNAME1% ve aktör %ACTORNAME1% yeni filmleri «%MOVIETITLE%» ile ekranda.
NEWS_ANNOUNCE_MOVIE_DESCRIPTION2	= Yakında sinemalarda: %ACTORNAME1% , «%MOVIETITLE%» ile. Aktör %ACTORNAME2% yardımcı rollerde.
NEWS_ANNOUNCE_MOVIE_DESCRIPTION3	= «%MOVIETITLE%» için son çalışmalar. %ACTORNAME1% bu filmde oynadığı için gururlu.
NEWS_ANNOUNCE_MOVIE_DESCRIPTION4	= «%MOVIETITLE%» ilk fragman hazır. %DIRECTORNAME1%: "Bu yılın En İyisi".


DIALOGUE_BOSS_MAIN_TITLE_DEFAULT1             = Naber, %PLAYERNAME%
DIALOGUE_BOSS_MAIN_TITLE_DEFAULT2             = %PLAYERNAME%, yine mi sen ?!
DIALOGUE_BOSS_MAIN_TITLE_UNFRIENDLY1          = Sen ... Nasıl cüret edersin?!
DIALOGUE_BOSS_MAIN_TITLE_UNFRIENDLY2          = Kafayı mı yedin?
DIALOGUE_BOSS_MAIN_TEXT_DEFAULT1              = Benim zamanım çalmaktan daha iyi bir işin yok mu, senin?
DIALOGUE_BOSS_MAIN_TEXT_PROGRAMMEMALFUNCTION1 = Bu durum kabul edilemez. Program Aksaklığı; |b|%PROGRAMMEMALFUNCTION%x|/b| 
DIALOGUE_BOSS_MAIN_TEXT_NEWSMALFUNCTION1      = |b|%NEWSMALFUNCTION%x|/b| kez Haber Şovu Aksaklığı yapacağına, geçen senenin hava durumunu yayınlasaydın bari!
DIALOGUE_BOSS_MAIN_ENDING_DEFAULT1            = İşine dön veya birisi senin yerine orada olacak..!
DIALOGUE_BOSS_MAIN_ENDING_UNFRIENDLY1         = Oğlumun hamsterı senden iyi iş çıkarırdı!
DIALOGUE_BOSS_MAIN_ENDING_UNFRIENDLY2         = Bir hata daha yap ve kapıyı çalan ilk kişiye senin işini vereyim...
DIALOGUE_BOSS_MAIN_TEXT_OTHERPLAYER1          = Yolumdan çekil - Ve patronuna nefretimi ilet... Gırr Gırr Gırr...
DIALOGUE_BOSS_MAIN_TEXT_OTHERPLAYER2          = Git başımdan! Senin ve kanalının yanında daha fazla zaman geçirmek istemiyorum!

DIALOGUE_BOSS_WILLNOTDISTURB_OTHERPLAYER =	Tamam, uhmmm, Çıkıyorum!
DIALOGUE_BOSS_WILLNOTDISTURB			=	Ah tamam, Patron. Çıkıyorum!
DIALOGUE_BOSS_ASKFORCREDIT				=	Ben... Ben *uhm* kredi isteyecektim.
DIALOGUE_BOSS_REPAYCREDIT				=	Aldığım krediyi geri ödemek istiyordum...
DIALOGUE_BOSS_CREDIT_OK1				=	Yine. Para. Yine?\n Hmm, Tamam... Diğerlerinden iyi iş çıkarıyorsun. Ama en fazla, |b|%CREDIT%€|/b| ..., Anladın mı?!
DIALOGUE_BOSS_CREDIT_OK2				=	Paramı boşa harcıyorsun!\n Ama bu kez alışverişten karlı çıkacağım gibi geliyor. Verebileceğim ; \n|b|%CREDIT%€|/b| . Anlaştık mı?
DIALOGUE_BOSS_CREDIT_OK_ACCEPT1			=	Evet, Krediyi kabul ediyorum.
DIALOGUE_BOSS_CREDIT_OK_ACCEPT_HALF1	=	Teşekkürler, Patron. Sadece yarısı bile yeterli; |b|%CREDITHALF%€|/b|.
DIALOGUE_BOSS_DECLINE1					=	Hmm, teşekkürler Patron. Ama sanırım kabul etmeyeceğim.
DIALOGUE_BOSS_DECLINE2					=	Fikrimi değiştirdim. Sonra görüşürüz, Patron.
DIALOGUE_BOSS_DECLINE3					=	Ahem, Sonra tekrar geleceğim.
DIALOGUE_BOSS_CREDIT_REPAY				=	Kredi borcunu ödemeyi düşünmüyor musun?\n Şu anda bile borcun; |b|%CREDIT%€|/b| -  Önce onu öde!\n Şimdi yokol!!
DIALOGUE_BOSS_CREDIT_REPAY_ACCEPT		=	Tamam, bir miktar ödeme yapacağım.
DIALOGUE_BOSS_CREDIT_REPAY_BOSSRESPONSE	=	Bugün en azından bir güzel haberin olduğunu söylememiştin.\n \n Ne kadar ödeyeceksin?
DIALOGUE_BOSS_CREDIT_REPAY_100K			=	Tamam, |b|100.000€|/b| ödemek istiyorum.
DIALOGUE_BOSS_CREDIT_REPAY_500K			=	Uuhm, |b|500.000€|/b| ödeyebilirim.
DIALOGUE_BOSS_CREDIT_REPAY_ALL			=	Hmm, Borcumun tamamını, |b|%CREDIT%€|/b| , ödeyeceğim.

DIALOGUE_BOSS_CHANGETOPIC1				=	Başka bir konuda konuşamaz mıyız?
DIALOGUE_BOSS_BACKTOWORK				=	Tamam, %PLAYERNAME%, Şimdi işine dön!
DIALOGUE_BOSS_BACKTOWORK_OK				=	Tamam patron, işe dönüyorum.



DIALOGUE_BETTY_WELCOME = Oh Merhaba?\n Aslında daha sık gelebilirsin.

SHOW_PLAYERS = Oyuncuları göster
PURCHASE = Satın Al
STATION = İstasyon
PURCHASE_STATION = İstasyon Satın Al
ACQUIRED_PROPERTY = Kazanılmış Mülk
NEW_STATION = Yeni İstasyon
SELECT_LOCATION = Yer Seç
SELECT_STATION = İstasyon Seç
BUY_STATION = İstasyon Satın Al
TOO_EXPENSIVE = Çok pahalı
SELL_STATION = İstasyon Sat

