LANGUAGE_NAME_INTERNATIONAL = English
LANGUAGE_NAME_LOCALE = English

CHAT = Chat
SAVE_AND_APPLY = Save and apply
CANCEL = Cancel

MALE = male
FEMALE = female
UNDEFINED = undefined

PLAYERNAME = Playername
CHANNELNAME = Channelname
STATIONMAP = Stationmap
DATABASE = Database
SOUND_OUTPUT = Sound output
GRAPHICS = Graphics
MUSIC = Music
SFX = Sound effects
FULLSCREEN = Fullscreen
MULTIPLAYER = Multiplayer
RENDERER = Renderer
SOUND_ENGINE = Soundengine
DEFAULTS_FOR_NEW_GAME= Defaults for "New Game"
PORT_ONLINEGAME = Port for online games

STARTHINT_TITLE1 = Programme plan
STARTHINT_TEXT1 = The CTRL-key allows you to place a programme multiple times on your plan. While the SHIFT-key tries to place the next episode of a series.
STARTHINT_TITLE2 = Programme plan
STARTHINT_TEXT2 = The success of a broadcast is heavily based on the quality/rating of the programme. Also important is the air time of the programme, the popularity of the genre, the audience flow to (hopefully similar) follow up programmes and the amount of broadcasted trailers. The quality of news shows and other factors are playing an important role too.\n\nProgrammes of certain genres like comedy can be broadcasted in more often than other genres while keeping most of their topicality.
STARTHINT_TITLE3 = Ad contracts
STARTHINT_TEXT3 = Ad contracts have defined requirements to the minimum audience. This and of course profits/penalties are directly attached to the maximum audience a channel can reach currently.\n\nTherefore it is sometimes better to sign new contracts right before buying new stations.

CLOSES_AT_TIME = Closes at %TIME%

GAME_TITLE = Game title
START_YEAR = Start year

GAME_TIME = Game time
GAMEDAY = Gameday
BETTY_FEELINGS = Bettys feelings about you
THERE_IS_NO_LOVE_IN_THE_AIR_YET = There is no love in the air yet... ;D

PLEASE_BE_PATIENT = Please be patient
SAVEGAME_GETS_CREATED = Savegame gets created
SAVEGAME_GETS_LOADED = Savegame gets loaded

PROGRAMMELICENCES = Programme licences
SELECT_LICENCES_FOR_SALE = Select licences for sale


YES = Yes
NO = No
MONEY = Money
DEBT = Debt
REACH = Reach
INCREASE = Increase
PRICE = Price
VALUE = Value
BROADCASTING_AREA = Broadcasting area

CURRENCY = €
OCLOCK =
DAY = day
DAYS = days
WEEK_SHORT_MONDAY		= mo
ROOM_SCRIPT_OFFICE_OWNER= John S. Jibble
ROOM_NOTOBACCO			= No to Tobacco Society
ROOM_NOTOBACCO_OWNER	= American Society Against Tobacco
ROOM_TOBACCOLOBBY		= Tobacco lobby
ROOM_TOBACCOLOBBY_OWNER	= Union of American Tobacco Producers
ROOM_VRDUBAN			= Consulate of VR Duban
ROOM_FRDUBAN			= Embassy of FR Duban
ROOM_PORTER				= Porter
ROOM_LAUNDRY			= Laundry
ROOM_BIOCONTROL			= Bio-Control
ROOM_PSYCHIATRIST		= Pychiatrist "Harry Dippl"
ROOM_COMPUTERSHOP		= Computershop "SpySoft"
ROOM_AUCTION			= Auction
ROOM_AUCTION_SUB		= Auction of movies and series
ROOM_SIZE				= Room size: %SIZE%

ABBREVIATION_THOUSAND = K
ABBREVIATION_MILLION = M
ABBREVIATION_BILLION = bn

BROADCASTING_OUTAGE		= Broadcasting outage !!
ADVERTISMENT			= Advertisment
BLOCK					= block
BLOCKS					= blocks
NEWS					= News
PROGRAMME				= Programme
TV_OFF					= The TV is off!
TV_TURN_IT_ON			= You should turn it on again ;D
AUDIENCE_RATING			= Audience rating
AUDIENCE_RATINGS		= Audience ratings
POTENTIAL_AUDIENCE_NUMBER	= potential audience
AUDIENCE_NUMBER				= audience
MIN_AUDIENCE			= Min. audience
INVALID_BY_BROADCAST_OUTAGE = Invalid by broadcast outage
NEXT_ADBLOCK			= Next ad-block
NEXT_PROGRAMME			= Next programme
NEXT_NOTHINGSET			= not set!

PROGRAMME_IN_PROGRAMME_PLAN = Programme in programme plan!

AD_PROFIT				= Profit
AD_PLANNED				= planned
AD_TOSEND				= to send
AD_PENALTY				= Penalty
AD_MIN_AUDIENCE			= Min. audience
AD_TARGETGROUP			= Target group
AD_SEND_TILL_TOLATE     = to late!!!
AD_SEND_TILL_MIDNIGHT   = send till midnight !!
AD_SEND_TILL_TOMORROW   = send till tomorrow!

AD_TILL_TOLATE			= too late!!!
AD_TILL_TODAY			= till today!!
AD_TILL_TOMORROW		= till tomorrow!
AD_STILL_X_DAYS			= still %1 days
AD_TIME					= time

AD_CHANNEL_IMAGE_TO_LOW = Channel image to low. %CHANNELIMAGE%% < %IMAGE%%.
AD_PLEASE_GENRE_X = Please genre %GENRE%
AD_PLEASE_FLAG = Please %FLAG%

TARGETGROUP_ALL = All
TARGETGROUP_CHILDREN	= Children
TARGETGROUP_TEENAGERS = Teenagers
TARGETGROUP_HOUSEWIVES = Housewives
TARGETGROUP_EMPLOYEES = Employees
TARGETGROUP_UNEMPLOYED = Unemployed
TARGETGROUP_MANAGER = Manager
TARGETGROUP_PENSIONERS = Pensioners
TARGETGROUP_WOMEN = Women
TARGETGROUP_MEN = Men

AD_INFOMERCIAL			= You get paid for airing infomercials. Income depends on audience.
AD_INFOMERCIAL_NOT_AVAILABLE = There is no infomercial possible for this advertisement.
AD_INFOMERCIAL_PROFIT	= Income: %PROFIT% per 1000 people watching


MOVIE_DIRECTOR			= Director
MOVIE_DIRECTORS			= Directors
MOVIE_ACTOR				= Actor
MOVIE_ACTORS			= Actors
MOVIE_SUPPORTINGACTOR   = Supporting Actor
MOVIE_SUPPORTINGACTORS  = Supporting Actors
MOVIE_REPORTER          = Reporter
MOVIE_REPORTERS         = Reporters
MOVIE_GUEST             = Guest
MOVIE_GUESTS            = Guests
MOVIE_HOST              = Host
MOVIE_HOSTS             = Hosts
MOVIE_SCRIPT            = Script
MOVIE_SCRIPTWRITER      = Scriptwriter
MOVIE_SCRIPTWRITERS     = Scriptwriters
MOVIE_MUSIC             = Music
MOVIE_MUSICIAN          = Musician
MOVIE_MUSICIANS         = Musicians

MOVIE_SPEED				= Speed
MOVIE_CRITIC			= Critics
MOVIE_BOXOFFICE			= Box-office
MOVIE_TOPICALITY		= Topicality
MOVIE_BLOCKS			= blocks
MOVIE_XRATED			= X-rated
MOVIE_EPISODES			= episodes
MOVIE_CAST              = Cast
MOVIE_LEADINGACTOR      = leading actor
MOVIE_SUPPORTINGACTOR   = supporting actor

AD_QUALITY = Quality

LICENCETYPE_SINGLE = Single
LICENCETYPE_EPISODE = Episode
LICENCETYPE_COLLECTION = Collection
LICENCETYPE_SERIES = Serie
LICENCETYPE_FRANCHISE = Franchise

SERIES_WITH_X_EPISODES = Series with %EPISODESCOUNT% episodes
SCRIPT_POTENTIAL = Potential

PROGRAMME_GENRE_UNDEFINED = Various
PROGRAMME_GENRE_ADVENTURE = Adventure
PROGRAMME_GENRE_ACTION = Action
PROGRAMME_GENRE_ANIMATION = Animation
PROGRAMME_GENRE_CRIME = Crime
PROGRAMME_GENRE_COMEDY = Comedy
PROGRAMME_GENRE_DOCUMENTARY = Documentary
PROGRAMME_GENRE_DRAMA = Drama
PROGRAMME_GENRE_EROTIC = Erotic
PROGRAMME_GENRE_FAMILY = Family
PROGRAMME_GENRE_FANTASY = Fantasy
PROGRAMME_GENRE_HISTORY = History
PROGRAMME_GENRE_HORROR = Horror
PROGRAMME_GENRE_MONUMENTAL = Monumental
PROGRAMME_GENRE_MYSTERY = Mystery
PROGRAMME_GENRE_ROMANCE = Romance
PROGRAMME_GENRE_SCIFI = SciFi
PROGRAMME_GENRE_THRILLER = Thriller
PROGRAMME_GENRE_WESTERN = Western
PROGRAMME_GENRE_DOCUMENTARIES_AND_FEATURES= Documentaries & Features
PROGRAMME_GENRE_SHOW_AND_EVENTS= Shows & Events
PROGRAMME_GENRE_SHOW= Show
PROGRAMME_GENRE_SHOW_MUSIC= Musics Show
PROGRAMME_GENRE_SHOW_POLITICS= Political Talk
PROGRAMME_GENRE_EVENT= Event
PROGRAMME_GENRE_EVENT_POLITICS= Politics
PROGRAMME_GENRE_EVENT_SPORT= Sport
PROGRAMME_GENRE_EVENT_SHOWBIZ= Showbiz
PROGRAMME_GENRE_EVENT_MUSIC = Music and Singing
PROGRAMME_GENRE_FEATURE= Feature
PROGRAMME_GENRE_FEATURE_YELLOWPRESS= Yellow Press

PROGRAMME_FLAG_LIVE = Live
PROGRAMME_FLAG_ANIMATION = Animation
PROGRAMME_FLAG_CULTURE = Culture
PROGRAMME_FLAG_CULT = Cult
PROGRAMME_FLAG_TRASH = Trash
PROGRAMME_FLAG_BMOVIE = BMovie
PROGRAMME_FLAG_XRATED = XRated
PROGRAMME_FLAG_PAID = Paid programming
PROGRAMME_FLAG_SERIES = Series like
PROGRAMME_FLAG_SCRIPTED = Scripted

PROGRAMME_PRODUCT_UNDEFINED = Undefined
PROGRAMME_PRODUCT_MOVIE = Movie
PROGRAMME_PRODUCT_SERIES = Series
PROGRAMME_PRODUCT_SHOW = Show
PROGRAMME_PRODUCT_FEATURE = Feature
PROGRAMME_PRODUCT_INFOMERCIAL = Infomercial
PROGRAMME_PRODUCT_EVENT = Event
PROGRAMME_PRODUCT_MISC = Misc

MOVIE_CALLINSHOW		= You earn %PROFIT% per 1.000 viewers.
MOVIE_TRAILER			= Airing a trailer may increase interest in upcoming broadcastings of the promoted programme.

AUCTION_MAKE_BID = Bid
AUCTION_WITHOUT_BID = Without bid

CLICK_ON_MOVIE_OR_SERIES_TO_PLACE_BID= Click on movie or series to place a bid.

ERROR_NOT_POSSIBLE					= Not possible!
ERROR_NOT_ABLE_TO_SELL_LAST_STATION = It is not possible to sell the last station.
ERROR_NOT_ENOUGH_MONEY		      	= Not enough money!
ERROR_NOT_ENOUGH_MONEY_TEXT 		= You do not own enough money to finish this action.

FINANCES_EXPENSES     = Expenses
FINANCES_INCOME       = Income

FINANCES_LAST_FINANCIAL_ACTIVITIES = Last financial activities
FINANCES_FINANCIAL_CURVES = Financial curves
FINANCES_TRADING_PROGRAMMELICENCES = Trading with programme licences
FINANCES_AD_INCOME__CONTRACT_PENALTY = Ad Income / Contract penalty
FINANCES_CALL_IN_SHOW_INCOME = Income from Call-In-shows
FINANCES_SPONSORSHIP_INCOME__PENALTY = Sponsoring: Income / Penalty
FINANCES_STATIONS =  Stations
FINANCES_STATIONS_FEES =  Stations: Maintenance
FINANCES_STATIONS_BUY_SELL =  Stations: Sold / Bought
FINANCES_CREDIT_TAKEN__REPAYED = Credit: New / Repayed
FINANCES_SCRIPTS = Scripts
FINANCES_ACTORS_AND_PRODUCTIONSTUFF = Actors and production stuff
FINANCES_STUDIO_RENT = Studio rent
FINANCES_NEWS = News
FINANCES_NEWSAGENCIES = News agencies
FINANCES_INTEREST_BALANCE__CREDIT = Interest: Balance / Credit
FINANCES_MISC = Misc
FINANCES_TOTAL = Total

FINANCES_HISTORY_FOR_CREDITREPAID = repaying credit
FINANCES_HISTORY_FOR_CREDITTAKEN = credit taken
FINANCES_HISTORY_FOR_STATIONBOUGHT = station bought
FINANCES_HISTORY_FOR_STATIONSOLD = station sold
FINANCES_HISTORY_OF_STATIONFEES = station fees
FINANCES_HISTORY_FOR_MISC = for misc
FINANCES_HISTORY_FOR_PROGRAMMELICENCE = for programme: %TITLE%
FINANCES_HISTORY_FOR_AUCTIONBID = for auction: %TITLE%
FINANCES_HISTORY_FOR_AUCTIONBIDREPAYED = for auction repayed: %TITLE%
FINANCES_HISTORY_OF_CALLERREVENUE = Call-In-income
FINANCES_HISTORY_OF_INFOMERCIALREVENUE = for infomercial
FINANCES_HISTORY_OF_ADPROFIT = of ad profit: %TITLE%
FINANCES_HISTORY_OF_SPONSORSHIPREVENUE = from sponsoring
FINANCES_HISTORY_OF_PENALTY = of contract penalty
FINANCES_HISTORY_FOR_SCRIPT = for script: %TITLE%
FINANCES_HISTORY_FOR_PRODUCTIONSTUFF = for production stuff
FINANCES_HISTORY_FOR_RENT = for rent
FINANCES_HISTORY_FOR_NEWS = for news: %TITLE%
FINANCES_HISTORY_FOR_NEWSAGENCY = for news agencies
FINANCES_HISTORY_OF_CREDITINTEREST = credit interest
FINANCES_HISTORY_OF_DRAWINGCREDITINTEREST = drawing credit interest
FINANCES_HISTORY_OF_BALANCEINTEREST = balance interest
FINANCES_HISTORY_FOR_SOMETHING = for something

IMAGE_REACH = Reach
IMAGE_SHARETOTAL = Share total
IMAGE_SHAREWITHPLAYER = Share with %PLAYERNAME%

NEWSSTUDIO_NOT_SUBSCRIBED					= not subscribed
NEWSSTUDIO_SUBSCRIBE_GENRE_LEVEL			= subscribe genre level
NEWSSTUDIO_SUBSCRIPTION_LEVEL				= subscription level
NEWSSTUDIO_DONT_SUBSCRIBE_GENRE_ANY_LONGER	= do not subscribe genre any longer
NEWSSTUDIO_NEXT_SUBSCRIPTION_LEVEL			= next subscription level
NEWSSTUDIO_YOU_ALREADY_USED_LEVEL_AND_THEREFOR_PAY = Today you used a maximum of subscription level %MAXLEVEL%. So today you pay %TOPAY%.

MAP_COUNTRY_BREMEN				=	Bremen
MAP_COUNTRY_BERLIN				=	Berlin
MAP_COUNTRY_HAMBURG				=	Hamburg
MAP_COUNTRY_BAWUE				=	Baden-Wuerttemberg
MAP_COUNTRY_BAYERN				=	Bavaria
MAP_COUNTRY_SAARLAND			=	Saarland
MAP_COUNTRY_RHEINLANDPFALZ		=	Rhineland-Palatinate
MAP_COUNTRY_HESSEN				=	Hesse
MAP_COUNTRY_THUERINGEN			=	Thuringia
MAP_COUNTRY_SACHSEN				=	Saxony
MAP_COUNTRY_SACHSENANHALT		=	Saxony-Anhalt
MAP_COUNTRY_NIEDERSACHSEN		=	Lower Saxony
MAP_COUNTRY_SCHLESWIGHOLSTEIN	=	Schleswig-Holstein
MAP_COUNTRY_BRANDENBURG			=	Brandenburg
MAP_COUNTRY_NRW					=	North Rhine-Westphalia
MAP_COUNTRY_MECKPOM				=	Mecklenburg-Hither Pomerania


NEWS_ANNOUNCE_MOVIE_ACTOR_IS_DIRECTOR_TITLE	= New movie by and with %DIRECTORNAME1%
NEWS_ANNOUNCE_MOVIE_ACTOR_IS_DIRECTOR_DESCRIPTION	= Director and main actor %DIRECTORNAME1% has new movie «%MOVIETITLE%» in the line.

NEWS_ANNOUNCE_MOVIE_NO_ACTOR_TITLE	= Soon in the movies: «%MOVIETITLE%»
NEWS_ANNOUNCE_MOVIE_NO_ACTOR_DESCRIPTION	= Director %DIRECTORNAME1% lands «%MOVIETITLE%» to a cinema near you.

NEWS_ANNOUNCE_MOVIE_TITLE1	= New movie with %ACTORNAME1%
NEWS_ANNOUNCE_MOVIE_TITLE2	= %DIRECTORNAME1% directs new movie

NEWS_ANNOUNCE_MOVIE_DESCRIPTION1	= Director %DIRECTORNAME1% and actor %ACTORNAME1% deliver «%MOVIETITLE%» to the screen.
NEWS_ANNOUNCE_MOVIE_DESCRIPTION2	= Soon in the movies: %ACTORNAME1% in «%MOVIETITLE%». Actor %ACTORNAME2% is full of praise for the movie.
NEWS_ANNOUNCE_MOVIE_DESCRIPTION3	= Latest works for movie «%MOVIETITLE%». %ACTORNAME1% is proud starring the movie.
NEWS_ANNOUNCE_MOVIE_DESCRIPTION4	= First trailers for «%MOVIETITLE%» available. %DIRECTORNAME1%: "Best movie of the year".


DIALOGUE_BOSS_MAIN_TITLE_DEFAULT1             = What's up %PLAYERNAME%
DIALOGUE_BOSS_MAIN_TITLE_DEFAULT2             = %PLAYERNAME%, you again ?!
DIALOGUE_BOSS_MAIN_TITLE_UNFRIENDLY1          = You ... you dare to ask?!
DIALOGUE_BOSS_MAIN_TITLE_UNFRIENDLY2          = Are you off your head?
DIALOGUE_BOSS_MAIN_TEXT_DEFAULT1              = Is there nothing to do for you than eating up my time?
DIALOGUE_BOSS_MAIN_TEXT_PROGRAMMEMALFUNCTION1 = This incompetence is incredible. You had |b|%PROGRAMMEMALFUNCTION%x|/b| programme malfunctions.
DIALOGUE_BOSS_MAIN_TEXT_NEWSMALFUNCTION1      = Instead of sending no news shows |b|%NEWSMALFUNCTION%x|/b| times, you'd better broadcast the last years weather report!
DIALOGUE_BOSS_MAIN_ENDING_DEFAULT1            = Back to work or someone else will get your Job...!
DIALOGUE_BOSS_MAIN_ENDING_UNFRIENDLY1         = The hamster of my son could do your job better than you!
DIALOGUE_BOSS_MAIN_ENDING_UNFRIENDLY2         = Drop another brick and next best knocking on this door will get your job.
DIALOGUE_BOSS_MAIN_TEXT_OTHERPLAYER1          = Out of my way - and pass on worst greetings to your boss. Harr harr harr...
DIALOGUE_BOSS_MAIN_TEXT_OTHERPLAYER2          = Go away! I can't stand you and your channel any longer!

DIALOGUE_BOSS_WILLNOTDISTURB_OTHERPLAYER =	Alright, uhmmm, I will no longer disturb!
DIALOGUE_BOSS_WILLNOTDISTURB			=	Ah alright, Boss I will no longer disturb!
DIALOGUE_BOSS_ASKFORCREDIT				=	I just *uhm* wanted to ask for credit.
DIALOGUE_BOSS_REPAYCREDIT				=	I want to repay my credit...
DIALOGUE_BOSS_CREDIT_OK1				=	Again. Money. Agaaain?\nHmm, ok you are better in your job than other candidates. More than |b|%CREDIT%€|/b| is not possible, understood?!
DIALOGUE_BOSS_CREDIT_OK2				=	You squander my good money!\nBetter hope that something reasonable comes out of this transaction.\n|b|%CREDIT%€|/b| is all I can offer. Do you agree?
DIALOGUE_BOSS_CREDIT_OK_ACCEPT1			=	Yes, I will take that credit.
DIALOGUE_BOSS_CREDIT_OK_ACCEPT_HALF1	=	Thanks boss, I will just need 50% of it, means |b|%CREDITHALF%€|/b|.
DIALOGUE_BOSS_DECLINE1					=	Hmm, thanks boss but I changed my mind.
DIALOGUE_BOSS_DECLINE2					=	Just changed my mind, see you later boss.
DIALOGUE_BOSS_DECLINE3					=	Ahem, I will come back later.
DIALOGUE_BOSS_CREDIT_REPAY				=	Won't you just repay the old credit?\nYou still owe me |b|%CREDIT%€|/b| - repay that first!\nAnd now get lost or I'll kick your ass!!
DIALOGUE_BOSS_CREDIT_REPAY_ACCEPT		=	Okay, I will repay something.
DIALOGUE_BOSS_CREDIT_REPAY_BOSSRESPONSE	=	You don't say, at least one good news for today.\n \nHow much do you want to repay?
DIALOGUE_BOSS_CREDIT_REPAY_100K			=	Oh well, I could repay |b|100.000€|/b|.
DIALOGUE_BOSS_CREDIT_REPAY_500K			=	Uuhm, I could repay |b|500.000€|/b|.
DIALOGUE_BOSS_CREDIT_REPAY_ALL			=	Hmm, the whole credit which is |b|%CREDIT%€|/b|.

DIALOGUE_BOSS_CHANGETOPIC1				=	Can't we talk about something different?
DIALOGUE_BOSS_BACKTOWORK				=	Okay %PLAYERNAME%, now back to work!
DIALOGUE_BOSS_BACKTOWORK_OK				=	Aye sire, on my way.



DIALOGUE_BETTY_WELCOME = Oh Hi?\nYou absolutely could come along more often.

SHOW_PLAYERS = Show players
PURCHASE = Purchase
STATION = Station
PURCHASE_STATION = Purchase station
ACQUIRED_PROPERTY = Acquired property
NEW_STATION = New station
SELECT_LOCATION = Select location
SELECT_STATION = Select station
BUY_STATION = Buy station
TOO_EXPENSIVE = Too expensive
SELL_STATION = Sell station

STATION_UNDER_CONSTRUCTION = Under Construction
STATION_READY_AT_ACTIVATIONTIME = Ready at %ACTIVATIONTIME%

BUY_AND_SELL = Buy and sell
AND_STATISTICS = and statistics
FOR_PRIVATE_AFFAIRS = for your most private affairs

STATISTICS_NOT_AVAILABLE = Statistics not available

MOVIES = Movies
SERIES = Series
SERIES_SINGULAR = Series
SPECIAL_BIN = Special bin
AUCTION = Auction
TRAILER = Trailer
X_RATED = X-rated
MOVIES_AND_SERIES_AUCTION = Movie and series auction

OLD = Old
TODAY = Today
YESTERDAY = Yesterday
TWO_DAYS_AGO = Two days ago

SPECIAL_NEWS_BROADCAST = Special news

24_HOURS_GAMEDAY = 24 hours gameday
ALLOW_TRAILERS_AND_INFOMERCIALS = Allow trailers/infomercials
ALLOW_MOVIES_WITH_YEAR_OF_PRODUCTION_GT_GAMEYEAR = Allow movies with year of production > game year
OPTION_ON = Option on
OPTION_OFF = Option off
AVAILABLE_GAMES = Available games
ALREADY_OVER = Already over...?
DO_YOU_REALLY_WANT_TO_QUIT = Do you really want to quit?
DO_YOU_REALLY_WANT_TO_QUIT_THE_GAME_AND_RETURN_TO_STARTSCREEN = Do you really want to quit the game and return to startscreen?

ADCONTRACT_FINISHED = Advertisement contract finished
ADCONTRACT_FAILED = Advertisement contract failed
ADCONTRACT_X_SUCCESSFULLY_FINISHED = Advertisement contract "%TITLE%" successfully finished.
PROFIT_OF_X_GOT_CREDITED = Profit of %MONEY% got credited.
ADCONTRACT_X_FAILED = Advertisement contract "%TITLE%" failed.
PENALTY_OF_X_WAS_PAID = Penalty of %MONEY% was paid.
BROADCAST_OF_XRATED_PROGRAMME_X_NOT_ALLOWED_DURING_DAYTIME = Broadcast of x-rated programme "%TITLE%" not allowed during daytime.
AUTHORITIES_STOPPED_BROADCAST = Authorities stopped broadcast
AUTHORITIES_CONFISCATED_LICENCE = Authorities confiscated licence
PROGRAMMELICENCE_X_GOT_CONFISCATED = Programme licence "%TITLE%" got confiscated.
SEEMS_AUTHORITIES_VISITED_THE_WRONG_ROOM = Seems authorities visited the wrong room.
BETTER_WATCH_OUT_NEXT_TIME = Better watch out next time.

YOU_HAVE_BEEN_OUTBID = You've been outbid
SOMEONE_BID_MORE_THAN_YOU_FOR_X = Someone bid more than you for "%TITLE%"
YOUR_PREVIOUS_BID_OF_X_WAS_REFUNDED = Your previous bid of %MONEY% was refunded. 

YOU_HAVE_WON_AN_AUCTION = You've won an auction
THE_LICENCE_OF_X_IS_NOW_AT_YOUR_DISPOSAL = The licence of "%TITLE%" is now at your disposal. 

YOUR_BOSS_WANTS_TO_SEE_YOU = Your boss wants to see you
YOU_HAVE_GOT_X_HOURS TO_VISIT_HIM = You've got %HOURS% hours to visit him.
CLICK_HERE_TO_START_YOUR_VISIT_AHEAD_OF_TIME = Click here to start your visit ahead of time.

HINT_PRESSING_ALT_WILL_SHOW_DETAILS = Pressing "ALT"-key will show details.
HINT_PROGRAMMEPLANER_SHORTCUTS = ALT: switch data sheet | CTRL+Click: copy programme | SHIFT+Click: next episode
HINT = Hint

PREPARING_START_DATA = Preparing start data
SYNCHRONIZING_START_CONDITIONS = Synchronizing start conditions
STARTING_MULTIPLAYERGAME = Starting multiplayer game
STARTING_SINGLEPLAYERGAME = Starting singleplayer game

WEATHER_FORECAST_FOR_X_TILL_Y = Weather forecast for %BEGINHOUR% till %ENDHOUR% o'clock
SKY_IS_PARTIALLY_CLOUDY = Sky is partially cloudy.
SKY_IS_OVERCAST = Sky is full of clouds.
SKY_IS_WITHOUT_CLOUDS = Sky keeps free of clouds.
SUN_SHINES_WHOLE_TIME = Sun will shine the whole time.
SUN_WINS_AGAINST_CLOUDS = Sun wins against existing clouds.
