LANGUAGE_NAME_INTERNATIONAL = Francais	
LANGUAGE_NAME_LOCALE = Francais

CHAT = Chat
SAVE_AND_APPLY = Sauvegarder et appliquer
CANCEL = Annuler

MALE = Homme	
FEMALE = femme
UNDEFINED = Non defini


PLAYERNAME = Nom du Joeur
CHANNELNAME = Nom de la chaine
STATIONMAP = Carte des stations
DATABASE = Base de données
SOUND_OUTPUT = audio
GRAPHICS = Graphiques
MUSIC = Musique
SFX = Effets audio
FULLSCREEN = plein ecran
MULTIPLAYER = Multi joueurs
RENDERER = Rendu
SOUND_ENGINE = Moteur Audio
DEFAULTS_FOR_NEW_GAME= Nouvelle partie auto
PORT_ONLINEGAME = Port jeu en Ligne

STARTHINT_TITLE1 = Programme plan
STARTHINT_TEXT1 = The CTRL-key allows you to place a programme multiple times on your plan. While the SHIFT-key tries to place the next episode of a series.
STARTHINT_TITLE2 = Programme plan
STARTHINT_TEXT2 = The success of a broadcast is heavily based on the quality/rating of the programme. Also important is the air time of the programme, the popularity of the genre, the audience flow to (hopefully similar) follow up programmes and the amount of broadcasted trailers. The quality of news shows and other factors are playing an important role too.\n\nProgrammes of certain genres like comedy can be broadcasted in more often than other genres while keeping most of their topicality.
STARTHINT_TITLE3 = Ad contracts
STARTHINT_TEXT3 = Ad contracts have defined requirements to the minimum audience. This and of course profits/penalties are directly attached to the maximum audience a channel can reach currently.\n\nTherefore it is sometimes better to sign new contracts right before buying new stations.

CLOSES_AT_TIME = Closes at %TIME%

GAME_TITLE = Nom de la partie
START_YEAR = Année de début

GAME_TIME = Heure
GAMEDAY = Jour
BETTY_FEELINGS = feeling avec Betty
THERE_IS_NO_LOVE_IN_THE_AIR_YET = c'est pas encore l'amour ;)

PLEASE_BE_PATIENT = Patienter svp
SAVEGAME_GETS_CREATED = Sauvegarde crée
SAVEGAME_GETS_LOADED = Sauvegarde chargée

PROGRAMMELICENCES = Programme licences
SELECT_LICENCES_FOR_SALE = choisir licence à vendre

YES = Oui	
NO = Non
MONEY = Argent
DEBT = Dette
REACH = portée
INCREASE = Augmentation
PRICE = Prix
VALUE = Valeur
BROADCASTING_AREA = Zone de diffusion

CURRENCY = €
OCLOCK =
DAY = jour
DAYS = jours
WEEK_SHORT_MONDAY		= lu
ROOM_PORTER				= Recepetion
ROOM_LAUNDRY			= Blanchisserie
ROOM_BIOCONTROL			= Bio-Control
ROOM_PSYCHIATRIST		= Pychiatre "Alain Proviste"
ROOM_COMPUTERSHOP		= Boutique Informatique "SpySoft"
ROOM_AUCTION			= Enchères
ROOM_AUCTION_SUB		= Enchères films et series
ROOM_SIZE				= Taille Salle: %SIZE%

ABBREVIATION_THOUSAND = K
ABBREVIATION_MILLION = M
ABBREVIATION_BILLION = bn

BROADCASTING_OUTAGE		= Panne de diffusion
ADVERTISMENT			= Publicité
BLOCK					= block
BLOCKS					= blocks
NEWS					= News
PROGRAMME				= Programme
TV_OFF					= La TV est sur off
TV_TURN_IT_ON			= Vous devriez rallumer la TV
AUDIENCE_RATING			= Audience rating
AUDIENCE_RATINGS		= Audience ratings
POTENTIAL_AUDIENCE_NUMBER	= Audience potentiel 
AUDIENCE_NUMBER				= audience
MIN_AUDIENCE			= Min. audience
INVALID_BY_BROADCAST_OUTAGE = Invalid by broadcast outage
NEXT_ADBLOCK			= A suivre
NEXT_PROGRAMME			= Programme Suivant
NEXT_NOTHINGSET			= Rien

PROGRAMME_IN_PROGRAMME_PLAN = Programme in programme plan!

AD_PROFIT				= Profit
AD_PLANNED				= planned
AD_TOSEND				= to send
AD_PENALTY				= Penalty
AD_MIN_AUDIENCE			= Min. audience
AD_TARGETGROUP			= Target group
AD_SEND_TILL_TOLATE     = to late!!!
AD_SEND_TILL_MIDNIGHT   = send till midnight !!
AD_SEND_TILL_TOMORROW   = send till tomorrow!
AD_STILL_X_DAYS			= encore %1 jours

AD_CHANNEL_IMAGE_TO_LOW = Image de la chaine. %CHANNELIMAGE%% < %IMAGE%%.
AD_PLEASE_GENRE_X = SVP genre %GENRE%
AD_PLEASE_FLAG = SVP %FLAG%

TARGETGROUP_ALL = Tous
TARGETGROUP_CHILDREN	= Enfants
TARGETGROUP_TEENAGERS = Ados
TARGETGROUP_HOUSEWIVES = Menageres
TARGETGROUP_EMPLOYEES = Employés
TARGETGROUP_UNEMPLOYED = Chomeurs
TARGETGROUP_MANAGER = Manager
TARGETGROUP_PENSIONERS = Seniors
TARGETGROUP_WOMEN = Femmes
TARGETGROUP_MEN = Hommes

AD_INFOMERCIAL			= Vous êtes payé pour diffuser des infopublicités . Vos revenu dépend de l'audimat
AD_INFOMERCIAL_NOT_AVAILABLE = Il n'y a pas d'information pour cette annonce. TRAD A confirmer
AD_INFOMERCIAL_PROFIT	= Revenu: % PROFIT % par 1000 personnes à regarder


JOB_DIRECTOR			= Directeur
JOB_DIRECTORS			= Directeurs
JOB_ACTOR				= Acteur
JOB_ACTORS			= Acteurs
JOB_SUPPORTINGACTOR   = Second role
JOB_SUPPORTINGACTORS  = Second roles
JOB_REPORTER          = Journaliste
JOB_REPORTERS         = Journalistes
JOB_GUEST             = Invité
JOB_GUESTS            = Invités
JOB_HOST              = Hôtes
JOB_HOSTS             = Hôtes
JOB_SCRIPT            = Scenario
JOB_SCRIPTWRITER      = Scénariste
JOB_SCRIPTWRITERS     = Scénaristes
JOB_MUSIC             = Musique
JOB_MUSICIAN          = Musicien
JOB_MUSICIANS         = Musiciens

MOVIE_SPEED				= Vitesse
MOVIE_CRITIC			= Critiques
MOVIE_BOXOFFICE			= Box-office
MOVIE_TOPICALITY		= Actualité
MOVIE_BLOCKS			= blocks
MOVIE_XRATED			= Classé X
MOVIE_EPISODES			= episodes
MOVIE_CAST              = Distribution 
MOVIE_LEADINGACTOR      = Acteur Principal
MOVIE_SUPPORTINGACTOR   = Second Rôle

AD_QUALITY = Qualité

LICENCETYPE_SINGLE = Single
LICENCETYPE_EPISODE = Episode
LICENCETYPE_COLLECTION = Collection
LICENCETYPE_SERIES = Serie
LICENCETYPE_FRANCHISE = Franchise

SERIES_WITH_X_EPISODES = Series avec %EPISODESCOUNT% episodes
SCRIPT_POTENTIAL = Potentiel

PROGRAMME_GENRE_UNDEFINED = Various
PROGRAMME_GENRE_ADVENTURE = Aventure
PROGRAMME_GENRE_ACTION = Action
PROGRAMME_GENRE_ANIMATION = Animation
PROGRAMME_GENRE_CRIME = Crime
PROGRAMME_GENRE_COMEDY = Comedie
PROGRAMME_GENRE_DOCUMENTARY = Documentaire
PROGRAMME_GENRE_DRAMA = Drame
PROGRAMME_GENRE_EROTIC = Erotique
PROGRAMME_GENRE_FAMILY = Famille
PROGRAMME_GENRE_FANTASY = Fantaisie
PROGRAMME_GENRE_HISTORY = Historique
PROGRAMME_GENRE_HORROR = Horreur
PROGRAMME_GENRE_MONUMENTAL = Monumental
PROGRAMME_GENRE_MYSTERY = Mysterieux
PROGRAMME_GENRE_ROMANCE = Romance
PROGRAMME_GENRE_SCIFI = SciFi
PROGRAMME_GENRE_THRILLER = Thriller
PROGRAMME_GENRE_WESTERN = Western
PROGRAMME_GENRE_DOCUMENTARIES_AND_FEATURES= Documentaires
PROGRAMME_GENRE_SHOW_AND_EVENTS= Shows & Events
PROGRAMME_GENRE_SHOW= Show
PROGRAMME_GENRE_SHOW_MUSIC= Musical Show
PROGRAMME_GENRE_SHOW_POLITICS= Politique Talkshow
PROGRAMME_GENRE_EVENT= Event
PROGRAMME_GENRE_EVENT_POLITICS= Politique
PROGRAMME_GENRE_EVENT_SPORT= Sport
PROGRAMME_GENRE_EVENT_SHOWBIZ= Showbiz
PROGRAMME_GENRE_EVENT_MUSIC = Musique et chanson
PROGRAMME_GENRE_FEATURE= Feature
PROGRAMME_GENRE_FEATURE_YELLOWPRESS= Presse à sensation

PROGRAMME_FLAG_LIVE = Live/Direct
PROGRAMME_FLAG_ANIMATION = Animation
PROGRAMME_FLAG_CULTURE = Culture
PROGRAMME_FLAG_CULT = Culte
PROGRAMME_FLAG_TRASH = Trash
PROGRAMME_FLAG_BMOVIE = série B
PROGRAMME_FLAG_XRATED = Classé X
PROGRAMME_FLAG_PAID = Programation payante
PROGRAMME_FLAG_SERIES = Series
PROGRAMME_FLAG_SCRIPTED = Scripted

PROGRAMME_PRODUCT_UNDEFINED = Undefined
PROGRAMME_PRODUCT_MOVIE = Film
PROGRAMME_PRODUCT_SERIES = Series
PROGRAMME_PRODUCT_SHOW = Show
PROGRAMME_PRODUCT_FEATURE = Feature
PROGRAMME_PRODUCT_INFOMERCIAL = Reportage
PROGRAMME_PRODUCT_EVENT = Event
PROGRAMME_PRODUCT_MISC = divers

MOVIE_CALLINSHOW		= Gain %PROFIT% par 1.000 téléspectacteurs.
MOVIE_TRAILER			= Diffusée une bande-annonce peut accroître l'intérêt pour les diffusions à venir du programme promu .

AUCTION_MAKE_BID = Offre
AUCTION_WITHOUT_BID = Sans offre

CLICK_ON_MOVIE_OR_SERIES_TO_PLACE_BID= Clique sur un film ou une serie pour faire une offre.


ERROR_NOT_POSSIBLE					= impossible!
ERROR_NOT_ABLE_TO_SELL_LAST_STATION = Il est impossible de vendre (la derniere station)
ERROR_NOT_ENOUGH_MONEY		      	= pas suffisament d'argent
ERROR_NOT_ENOUGH_MONEY_TEXT 		= Vous ne possédez pas assez d'argent pour terminer cette action.

FINANCES_EXPENSES     = Dépenses
FINANCES_INCOME       = Revenu

FINANCES_LAST_FINANCIAL_ACTIVITIES = Derniers activités financières
FINANCES_FINANCIAL_CURVES = Courbes financières
FINANCES_TRADING_PROGRAMMELICENCES = Trader avec les Licences
FINANCES_AD_INCOME__CONTRACT_PENALTY = Revenu de la pub / penalité de contrat
FINANCES_CALL_IN_SHOW_INCOME = Revenu des Shows
FINANCES_SPONSORSHIP_INCOME__PENALTY = Sponsoring: Revenu / Penalité
FINANCES_STATIONS =  Stations
FINANCES_STATIONS_FEES =  Stations: Maintenance
FINANCES_STATIONS_BUY_SELL =  Stations: Vendu / Acheté
FINANCES_CREDIT_TAKEN__REPAYED = Credit: Nouveau / Remboursement
FINANCES_SCRIPTS = Scripts
FINANCES_ACTORS_AND_PRODUCTIONSTUFF = Acteurs et production
FINANCES_STUDIO_RENT = Location Studio
FINANCES_NEWS = JT
FINANCES_NEWSAGENCIES = News agencies
FINANCES_INTEREST_BALANCE__CREDIT = Intérêts: Balance / Credit
FINANCES_MISC = Divers
FINANCES_TOTAL = Total

FINANCES_HISTORY_FOR_CREDITREPAID = remboursement credit
FINANCES_HISTORY_FOR_CREDITTAKEN = emprunt
FINANCES_HISTORY_FOR_STATIONBOUGHT = station acheté
FINANCES_HISTORY_FOR_STATIONSOLD = station vendu
FINANCES_HISTORY_OF_STATIONFEES = station redevance
FINANCES_HISTORY_FOR_MISC = diver
FINANCES_HISTORY_FOR_PROGRAMMELICENCE = pour programme: %TITLE%
FINANCES_HISTORY_FOR_AUCTIONBID = pour enchére: %TITLE%
FINANCES_HISTORY_FOR_AUCTIONBIDREPAYED = remboursement enchére: %TITLE%
FINANCES_HISTORY_OF_CALLERREVENUE = Call-In-income
FINANCES_HISTORY_OF_INFOMERCIALREVENUE = pour publireportage
FINANCES_HISTORY_OF_ADPROFIT = annonce des benefices %TITLE%
FINANCES_HISTORY_OF_SPONSORSHIPREVENUE = sponsoring
FINANCES_HISTORY_OF_PENALTY = penalité du contrat
FINANCES_HISTORY_FOR_SCRIPT = pour scenario: %TITLE%
FINANCES_HISTORY_FOR_PRODUCTIONSTUFF = pour production
FINANCES_HISTORY_FOR_RENT = for location
FINANCES_HISTORY_FOR_NEWS = for news/JT : %TITLE%
FINANCES_HISTORY_FOR_NEWSAGENCY = for news / presse
FINANCES_HISTORY_OF_CREDITINTEREST = intéret du credit
FINANCES_HISTORY_OF_DRAWINGCREDITINTEREST = intéret du credit
FINANCES_HISTORY_OF_BALANCEINTEREST = balance intéret
FINANCES_HISTORY_FOR_SOMETHING = pour quelque chose


IMAGE_REACH = Portée
IMAGE_SHARETOTAL = Partage
IMAGE_SHAREWITHPLAYER = Partager avec %PLAYERNAME%

NEWSSTUDIO_NOT_SUBSCRIBED					= Pas abonné
NEWSSTUDIO_SUBSCRIBE_GENRE_LEVEL			= Souscrire abonnement niveau
NEWSSTUDIO_SUBSCRIPTION_LEVEL				= Niveau d'abonnement
NEWSSTUDIO_DONT_SUBSCRIBE_GENRE_ANY_LONGER	= Renoncer à l'abonnement
NEWSSTUDIO_NEXT_SUBSCRIPTION_LEVEL			= prochain niveau d'abonnement
NEWSSTUDIO_YOU_ALREADY_USED_LEVEL_AND_THEREFOR_PAY = Aujourd'hui vous avez utilisé un maximum de niveau d'abonnement %MAXLEVEL%. Aujourd'hui il faut regler %TOPAY%.

MAP_COUNTRY_BREMEN				=	Bremen
MAP_COUNTRY_BERLIN				=	Berlin
MAP_COUNTRY_HAMBURG				=	Hamburg
MAP_COUNTRY_BAWUE				=	Baden-Wuerttemberg
MAP_COUNTRY_BAYERN				=	Bavaria
MAP_COUNTRY_SAARLAND			=	Saarland
MAP_COUNTRY_RHEINLANDPFALZ		=	Rhineland-Palatinate
MAP_COUNTRY_HESSEN				=	Hesse
MAP_COUNTRY_THUERINGEN			=	Thuringia
MAP_COUNTRY_SACHSEN				=	Saxony
MAP_COUNTRY_SACHSENANHALT		=	Saxony-Anhalt
MAP_COUNTRY_NIEDERSACHSEN		=	Lower Saxony
MAP_COUNTRY_SCHLESWIGHOLSTEIN	=	Schleswig-Holstein
MAP_COUNTRY_BRANDENBURG			=	Brandenburg
MAP_COUNTRY_NRW					=	North Rhine-Westphalia
MAP_COUNTRY_MECKPOM				=	Mecklenburg-Hither Pomerania


NEWS_ANNOUNCE_MOVIE_ACTOR_IS_DIRECTOR_TITLE	= Nouveau film de et avec %DIRECTORNAME1%
NEWS_ANNOUNCE_MOVIE_ACTOR_IS_DIRECTOR_DESCRIPTION	= Directeur et acteur %DIRECTORNAME1% nouveau film «%MOVIETITLE%» in the line.

NEWS_ANNOUNCE_MOVIE_NO_ACTOR_TITLE	= Bientôt dans le film : «%MOVIETITLE%»
NEWS_ANNOUNCE_MOVIE_NO_ACTOR_DESCRIPTION	= Directeur %DIRECTORNAME1% lands «%MOVIETITLE%» dans un cinema proche de chez vous.

NEWS_ANNOUNCE_MOVIE_TITLE1	= Nouveau film avec %ACTORNAME1%
NEWS_ANNOUNCE_MOVIE_TITLE2	= %DIRECTORNAME1% dirige un nouveau film

NEWS_ANNOUNCE_MOVIE_DESCRIPTION1	= Directeur %DIRECTORNAME1% et acteur %ACTORNAME1% deliver «%MOVIETITLE%» to the screen.
NEWS_ANNOUNCE_MOVIE_DESCRIPTION2	= Bientot dans un film: %ACTORNAME1% dans «%MOVIETITLE%». Acteur %ACTORNAME2% is full of praise for the movie.
NEWS_ANNOUNCE_MOVIE_DESCRIPTION3	= Latest works for movie «%MOVIETITLE%». %ACTORNAME1% is proud starring the movie.
NEWS_ANNOUNCE_MOVIE_DESCRIPTION4	= First trailers for «%MOVIETITLE%» available. %DIRECTORNAME1%: "Best movie of the year".


DIALOGUE_BOSS_MAIN_TITLE_DEFAULT1             = Quoi de neuf %PLAYERNAME%
DIALOGUE_BOSS_MAIN_TITLE_DEFAULT2             = %PLAYERNAME%, encore vous ?!
DIALOGUE_BOSS_MAIN_TITLE_UNFRIENDLY1          = Vous osez demander ?!
DIALOGUE_BOSS_MAIN_TITLE_UNFRIENDLY2          = Vous êtes fou ?
DIALOGUE_BOSS_MAIN_TEXT_DEFAULT1              = Et mise à part me faire perdre mon temps?
DIALOGUE_BOSS_MAIN_TEXT_PROGRAMMEMALFUNCTION1 = Votre incométence est incroyable. Vous aviez |b|%PROGRAMMEMALFUNCTION%x|/b| programme fonctionne pas.
DIALOGUE_BOSS_MAIN_TEXT_NEWSMALFUNCTION1      = Pas de news au JT |b|%NEWSMALFUNCTION%x|/b| simplement un rapport Meteo!
DIALOGUE_BOSS_MAIN_ENDING_DEFAULT1            = Au travail, sinon je trouve une autre personne pour le faire !
DIALOGUE_BOSS_MAIN_ENDING_UNFRIENDLY1         = Le hamster de mon fils pourrait faire votre travail mieux que vous !
DIALOGUE_BOSS_MAIN_ENDING_UNFRIENDLY2         = Fais ton boulot ! La prochaine fois que tu viens, j'espere que tu auras du neuf.
DIALOGUE_BOSS_MAIN_TEXT_OTHERPLAYER1          = Hors de mon chemin - et de passer sur les pires salutations à votre patron . Ha ha ha ha..
DIALOGUE_BOSS_MAIN_TEXT_OTHERPLAYER2          = Allez-vous en !

DIALOGUE_BOSS_WILLNOTDISTURB_OTHERPLAYER =	Bon, uhmmm 
DIALOGUE_BOSS_WILLNOTDISTURB			=	Ok patron je ne vais pas vous deranger plus !
DIALOGUE_BOSS_ASKFORCREDIT				=	J'ai besoin hum... d'un crédit
DIALOGUE_BOSS_REPAYCREDIT				=	Je souhaite rembourser mon crédit
DIALOGUE_BOSS_CREDIT_OK1				=	Encore de l'argent Hmm, pour le moment c'est pas mal. plus que |b|%CREDIT%€|/b| ce n'est pas possible, compris !
DIALOGUE_BOSS_CREDIT_OK2				=	Vous gasipiller mon argent \nEn esperant que cela soit efficace \n|b|%CREDIT%€|/b| voila ce que je vous propose.
DIALOGUE_BOSS_CREDIT_OK_ACCEPT1			=	oui je vais prendre ceci, merci !
DIALOGUE_BOSS_CREDIT_OK_ACCEPT_HALF1	=	Merci boss, j'ai juste besoin de 50%, soit |b|%CREDITHALF%€|/b|.
DIALOGUE_BOSS_DECLINE1					=	Hmm, merci boss mais j'ai changé d'avis.
DIALOGUE_BOSS_DECLINE2					=	J'ai changé d'avis, à bientot boss.
DIALOGUE_BOSS_DECLINE3					=	Hmmm, Je reviendrai plus tard.
DIALOGUE_BOSS_CREDIT_REPAY				=	Tu souhaites pas rembourser ton ancien crédit \nTu dois encore |b|%CREDIT%€|/b| - rembourse moi d'abord \nEt maintenant bouge tes fesses
DIALOGUE_BOSS_CREDIT_REPAY_ACCEPT		=	Okay, Je vais rembourser une partie
DIALOGUE_BOSS_CREDIT_REPAY_BOSSRESPONSE	=	Au moins une bonne nouvelle aujourd'hui.\n \nCombien souhaites tu rembourser ?
DIALOGUE_BOSS_CREDIT_REPAY_100K			=	Hmm, Je voudrais rembourser |b|100.000€|/b|.
DIALOGUE_BOSS_CREDIT_REPAY_500K			=	Uuhm, Je souhaite rembourser |b|500.000€|/b|.
DIALOGUE_BOSS_CREDIT_REPAY_ALL			=	Hmm, rembourser l'ensemble du crédit|b|%CREDIT%€|/b|.

DIALOGUE_BOSS_CHANGETOPIC1				=	Pouvons-nous parler de quelque chose de différent ?
DIALOGUE_BOSS_BACKTOWORK				=	OK %PLAYERNAME%, maintenant au boulot !
DIALOGUE_BOSS_BACKTOWORK_OK				=	En route.



DIALOGUE_BETTY_WELCOME = Oh Hello \nViens quand tu le souhaites.

SHOW_PLAYERS = Afficher joueurs
PURCHASE = Achat
STATION = Station
PURCHASE_STATION = Achat station
ACQUIRED_PROPERTY = Biens acquis
NEW_STATION = Nouvelle station
SELECT_LOCATION = Choisir lieux
SELECT_STATION = Choisir station
BUY_STATION = Acheter station
TOO_EXPENSIVE = Trop cher
SELL_STATION = Vendre station
UNSELLABLE = invendable

UNDER_CONSTRUCTION = en Construction
READY_AT_TIME_X = Pret à %ACTIVATIONTIME%
READY_AT_DAY_X = Ready at %ACTIVATIONTIME%
STATION_UNDER_CONSTRUCTION = Station under construction
NEW_STATION_WILL_BE_READY_AT_TIME_X = New station will be ready at %TIME% 
NEW_STATION_WILL_BE_READY_AT_DAY_X = New station will be ready at %TIME%

BUY_AND_SELL = Acheter et vendre
AND_STATISTICS = et statistiques
FOR_PRIVATE_AFFAIRS = pour vos affaires privés

STATISTICS_NOT_AVAILABLE = Statistiques non disponibles

MOVIES = Films
SERIES = Series
SERIES_SINGULAR = Series
SPECIAL_BIN = Special bin
AUCTION = Enchères
TRAILER = Bande Annonce
X_RATED = Classé X
MOVIES_AND_SERIES_AUCTION = Films et Series Enchère

OLD = Ancien
TODAY = Aujourd'hui
YESTERDAY = Hier
TWO_DAYS_AGO = Il y à deux jours

INFOMERCIAL = Infomercial
SPECIAL_NEWS_BROADCAST = Flash Special 

24_HOURS_GAMEDAY = Journée de 24 heures 
ALLOW_TRAILERS_AND_INFOMERCIALS = Autoriser bande annonce /Publireportage
ALLOW_MOVIES_WITH_YEAR_OF_PRODUCTION_GT_GAMEYEAR = Autoriser les films avec année de production > année de jeu
OPTION_ON = Option on
OPTION_OFF = Option off
AVAILABLE_GAMES = Jeux disponibles
ALREADY_OVER = Déja fini...?
DO_YOU_REALLY_WANT_TO_QUIT = Voulez vous vraiment quitter le jeu ?
DO_YOU_REALLY_WANT_TO_QUIT_THE_GAME_AND_RETURN_TO_STARTSCREEN = Voulez-vous vraiment quitter le jeu et revenir à l'Accueil ?

CONTINUE_GAME = Continue Game
LOAD_GAME = Load Game
SAVE_GAME = Save Game
EXIT_GAME = Exit Game
EXIT_TO_MAINMENU = Exit to main menu
NAME_OF_SAVEGAME = Name of savegame 
OVERWRITE_SAVEGAME = Overwrite savegame?
DO_YOU_REALLY_WANT_TO_OVERWRITE_SAVEGAME_X = Do you really want to overwrite savegame %SAVEGAME%?

ADCONTRACT_FINISHED = Pub terminé
ADCONTRACT_FAILED = Pub échoué
ADCONTRACT_X_SUCCESSFULLY_FINISHED = Pub "%TITLE%" terminé avec succès.
PROFIT_OF_X_GOT_CREDITED = Bénéfice de %MONEY% obtenu.
ADCONTRACT_X_FAILED = Publicité contrat "%TITLE%" a échoué.
PENALTY_OF_X_WAS_PAID = Pénalité de %MONEY% a été payé.
BROADCAST_OF_XRATED_PROGRAMME_X_NOT_ALLOWED_DURING_DAYTIME = Diffusion de film classé X "%TITLE%" non autorisés la journée
AUTHORITIES_STOPPED_BROADCAST = Autorités stop la diffusion
AUTHORITIES_CONFISCATED_LICENCE = Autorités confisque la licence
PROGRAMMELICENCE_X_GOT_CONFISCATED = Licence de programme "%TITLE%" confisqué.
