LANG_DE = German
LANG_EN = English

GAME_TIME = Game time
BETTY_FEELINGS = Bettys feelings about you

MONEY = Money
DEBT = debt


CURRENCY = €
DAY = day
DAYS = days
WEEK_SHORT_MONDAY		= mo
MOVIE_GENRE_12			= sport
MOVIE_GENRE_13			= culture
MOVIE_GENRE_14			= fantasy
MOVIE_GENRE_15			= yellow press
MOVIE_GENRE_16			= news
MOVIE_GENRE_17			= show
MOVIE_GENRE_18			= monumental
MOVIE_GENRE_19			= fillers
MOVIE_GENRE_20			= paid programing
MOVIE_CALLINSHOW		= You earn 0.5-2% of audience in €.

CLICK_ON_MOVIE_OR_SERIES_TO_PLACE_BID= Click on movie or series to place a bid.

ERROR_NOT_POSSIBLE					= Not possible!
ERROR_NOT_ABLE_TO_SELL_LAST_STATION = It is not possible to sell the last station.
ERROR_NOT_ENOUGH_MONEY		      	= Not enough money!
ERROR_NOT_ENOUGH_MONEY_TEXT 		= You do not own enough money to finish this action.


FINANCES_OVERVIEW     = financial overview
FINANCES_COSTS        = costs
FINANCES_INCOME       = income
FINANCES_MONEY_BEFORE = money before
FINANCES_MONEY_AFTER  = money after
FINANCES_SOLD_MOVIES  = sold movies
FINANCES_AD_INCOME    = ad income
FINANCES_MISC_INCOME  = misc income
FINANCES_INTEREST     = interest

FINANCES_BOUGHT_MOVIES= bought movies
FINANCES_BOUGHT_STATIONS = bought stations
FINANCES_SCRIPTS      = scripts
FINANCES_ACTORS_STAGES= actors/stages
FINANCES_PENALTIES    = penalties
FINANCES_STUDIO_RENT  = studio rent
FINANCES_NEWS         = news
FINANCES_NEWSAGENCIES = news agencies
FINANCES_STATION_COSTS= station costs
FINANCES_MISC_COSTS   = misc costs
FINANCES_CALLER_REVENUE	= revenue from call-in-shows

NEWSSTUDIO_NOT_SUBSCRIBED					= not subscribed
NEWSSTUDIO_SUBSCRIBE_GENRE_LEVEL			= subscribe genre level
NEWSSTUDIO_SUBSCRIPTION_LEVEL				= subscription level
NEWSSTUDIO_DONT_SUBSCRIBE_GENRE_ANY_LONGER	= do not subscribe genre any longer
NEWSSTUDIO_NEXT_SUBSCRIPTION_LEVEL			= next subscription level

MAP_COUNTRY_BREMEN				=	Bremen
MAP_COUNTRY_BERLIN				=	Berlin
MAP_COUNTRY_HAMBURG				=	Hamburg
MAP_COUNTRY_BAWUE				=	Baden-Wuerttemberg
MAP_COUNTRY_BAYERN				=	Bayern
MAP_COUNTRY_SAARLAND			=	Saarland
MAP_COUNTRY_RHEINLANDPFALZ		=	Rheinland-Pfalz
MAP_COUNTRY_HESSEN				=	Hessen
MAP_COUNTRY_THUERINGEN			=	Thueringen
MAP_COUNTRY_SACHSEN				=	Sachsen
MAP_COUNTRY_SACHSENANHALT		=	Sachsen-Anhalt
MAP_COUNTRY_NIEDERSACHSEN		=	Niedersachsen
MAP_COUNTRY_SCHLESWIGHOLSTEIN	=	Schleswig-Holstein
MAP_COUNTRY_BRANDENBURG			=	Brandenburg
MAP_COUNTRY_NRW					=	Nordrhein-Westfahlen
MAP_COUNTRY_MECKPOM				=	Mecklenburg Vorpommern


DIALOGUE_BOSS_WELCOME					=	What's up %1 ?!\nIs there nothing to do for you than eating up my time?\n \nBack to work or someone else will get your Job...!
DIALOGUE_BOSS_WILLNOTDISTURB			=	Ah alright, Boss I will no longer disturb!
DIALOGUE_BOSS_ASKFORCREDIT				=	I just *uhm* wanted to ask for credit.
DIALOGUE_BOSS_REPAYCREDIT				=	I want to repay my credit...
DIALOGUE_BOSS_CREDIT_OK					=	Again. Money. Agaaain?\nHmm, ok you are better in your job than other candidates. More than %1€ is not possible, understood?!
DIALOGUE_BOSS_CREDIT_OK_ACCEPT			=	Yes, I will take that credit.
DIALOGUE_BOSS_DECLINE1					=	Hmm, thanks boss but I changed my mind.
DIALOGUE_BOSS_DECLINE2					=	Just changed my mind, see you later boss.
DIALOGUE_BOSS_DECLINE3					=	Ahem, I will come back later.
DIALOGUE_BOSS_CREDIT_REPAY				=	Won't you just repay the old credit?\nYou still owe me %1€ - repay that first!\nAnd now get lost or I'll kick your ass!!
DIALOGUE_BOSS_CREDIT_REPAY_ACCEPT		=	Okay, I will repay something.
DIALOGUE_BOSS_CREDIT_REPAY_BOSSRESPONSE	=	You don't say, at least one good news for today.\n \nHow much do you want to repay?
DIALOGUE_BOSS_CREDIT_REPAY_100K			=	Oh well, I could repay 100000€.
DIALOGUE_BOSS_CREDIT_REPAY_ALL			=	Hmm, the whole credit which is %1€.

DIALOGUE_BOSS_CHANGETOPIC				=	Can't we talk about something different?
DIALOGUE_BOSS_BACKTOWORK				=	Okay %1, now back to work!
DIALOGUE_BOSS_BACKTOWORK_OK				=	Aye sire, on my way.
