ROOM_ELEVATORPLAN        = Ascensor planificador de destino
#INGAME_HELP_TITLE_SCREEN_ROOMBOARD = 

#INGAME_HELP_TEXT_SCREEN_SCRIPTAGENCY  = 
#INGAME_HELP_TITLE_SCREEN_SCRIPTAGENCY = 

#INGAME_HELP_TEXT_SCREEN_STUDIO  = 
#INGAME_HELP_TITLE_SCREEN_STUDIO = 

#INGAME_HELP_TEXT_SCREEN_MOVIEAGENCY  = 
#INGAME_HELP_TITLE_SCREEN_MOVIEAGENCY = 

#INGAME_HELP_TEXT_SCREEN_MOVIEAUCTION  = 
#INGAME_HELP_TITLE_SCREEN_MOVIEAUCTION = 

#INGAME_HELP_TEXT_SCREEN_SUPERMARKET_PRESENTS  = 
#INGAME_HELP_TITLE_SCREEN_SUPERMARKET_PRESENTS = 

#INGAME_HELP_TEXT_SCREEN_SUPERMARKET_PRODUCTION  = 
#INGAME_HELP_TITLE_SCREEN_SUPERMARKET_PRODUCTION = 

#INGAME_HELP_TEXT_SCREEN_ADAGENCY  = 
#INGAME_HELP_TITLE_SCREEN_ADAGENCY = 
