MALE      = masculin
DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_X_PRODUCTIONS_PLANNED_AND_Y_PRODUCTIONS_DONE       = Pour le moment, |b|%X% productions|/b| de ce script sont prévues et |b|%X%|/b| ont été réalisées.

DIALOGUE_STUDIO_START_PRODUCTION                    = Lance la production.
DIALOGUE_STUDIO_START_ALL_X_POSSIBLE_PRODUCTIONS    = Lance toutes les productions possibles (%X%).
DIALOGUE_STUDIO_START_NEXT_EPISODE                  = Lance la production du prochain épisode.
DIALOGUE_STUDIO_ASK_FOR_ANOTHER_SHOPPINGLIST        = J'aurais besoin d'une nouvelle liste de courses pour ce script.
DIALOGUE_STUDIO_ASK_FOR_A_SHOPPINGLIST              = J'ai besoin d'une liste de courses pour ce script.
DIALOGUE_STUDIO_GOODBYE1                            = A plus !
DIALOGUE_STUDIO_GOODBYE2                            = Au revoir.

DIALOGUE_STUDIO_CONCEPT_INTRO_FOR_TITLEX                   = Voilà ce que je peux te dire pour la production de |b|%TITLE%|/b| :
#DIALOGUE_STUDIO_CONCEPT_UNPLANNED_FOR_TITLEX               = 
#DIALOGUE_STUDIO_CONCEPT_SCRIPT_GENRE_BAD1                  =
#DIALOGUE_STUDIO_CONCEPT_SCRIPT_GENRE_BAD2                  = 
DIALOGUE_STUDIO_CONCEPT_SCRIPT_GENRE_AVERAGE1              = 
#DIALOGUE_STUDIO_CONCEPT_SCRIPT_GENRE_GOOD1                 = 
DIALOGUE_STUDIO_CONCEPT_CAST_BAD_CASTSYMPATHY_BAD1         = Tu as choisi une équipe de mauvais, et en plus ils ont vraiment pas l'air de t'apprécier !
DIALOGUE_STUDIO_CONCEPT_CAST_BAD_CASTSYMPATHY_AVERAGE1     = Tu as choisi une équipe de mauvais.
DIALOGUE_STUDIO_CONCEPT_CAST_BAD_CASTSYMPATHY_GOOD1        = Tu as choisi une équipe de mauvais mais au moins ils ont l'air de t'apprécier !
DIALOGUE_STUDIO_CONCEPT_CAST_AVERAGE_CASTSYMPATHY_BAD1     = Tu as constitué une équipe plutôt moyenne mais j'ai pas l'impression qu'ils vont bien s'entendre avec toi...
DIALOGUE_STUDIO_CONCEPT_CAST_AVERAGE_CASTSYMPATHY_AVERAGE1 = Tu as constitué une équipe plutôt moyenne.
DIALOGUE_STUDIO_CONCEPT_CAST_AVERAGE_CASTSYMPATHY_GOOD1    = Tu as constitué une équipe plutôt moyenne mais on dirait qu'ils t'aiment bien !
DIALOGUE_STUDIO_CONCEPT_CAST_GOOD_CASTSYMPATHY_BAD1        = Tu as rassemblé une équipe convenable mais ça risque d'être tendu entre vous...
DIALOGUE_STUDIO_CONCEPT_CAST_GOOD_CASTSYMPATHY_AVERAGE1    = Tu as rassemblé une équipe convenable.
DIALOGUE_STUDIO_CONCEPT_CAST_GOOD_CASTSYMPATHY_GOOD1       = Tu as rassemblé une équipe convenable et en plus ils sont tous fan de toi !
DIALOGUE_STUDIO_CONCEPT_PRODUCTIONCOMPANY_BAD1             = La société de production que tu as choisie est vraiment médiocre
#DIALOGUE_STUDIO_CONCEPT_PRODUCTIONCOMPANY_AVERAGE1         = La société de production que tu as choisie est plutôt moyenne
#DIALOGUE_STUDIO_CONCEPT_PRODUCTIONCOMPANY_GOOD1            = la société de production que tu as choisie est une des meilleures sur le marché
DIALOGUE_STUDIO_CONCEPT_EFFECTIVEFOCUSPOINTSRATIO_BAD1     = et tu devrais mieux choisir tes priorités de production !
#DIALOGUE_STUDIO_CONCEPT_EFFECTIVEFOCUSPOINTSRATIO_AVERAGE1 = et tu t'es pas trop mal débrouillé dans tes priorités de production.
#DIALOGUE_STUDIO_CONCEPT_EFFECTIVEFOCUSPOINTSRATIO_GOOD1    = et tu as plutôt bien géré tes priorités de production !

#PLANNED_LIVE_TIME_TODAY_FROM_X_OCLOCK         = 
#PLANNED_LIVE_TIME_TOMORROW_FROM_X_OCLOCK      = 
#PLANNED_LIVE_TIME_IN_Y_DAYS_FROM_X_OCLOCK     = 

#CLICK_TO_SELECT_PERSON = 
#TOUCH_TO_SELECT_PERSON = 

COULISSE             = Coulisses
OUTFIT_AND_MASK      = Costumes / Masques
STUNTS               = Cascades
VFX_AND_SFX          = VFX / SFX
TEAM                 = Équipe (techniciens, etc)
PRODUCTION_SPEED     = Vitesse de production
PRODUCTION_POTENTIAL = Potentiel
SCRIPT_POTENTIAL     = Potentiel

PRODUCTION         = Production
TOTAL_COSTS        = Coût total
DURATION           = Durée
#SUBHEADING         = Sous-titres
#PRODUCTION_DETAILS = 
#PRODUCTION_FOCUS   = 
#IN_PRODUCTION      = 

#POINTSSET_OF_POINTSMAX_POINTS_SET                           = 
#PRODUCTION_FOCUS_POINTS_NOT_SET_COMPLETELY                  = 
#NEED_TO_SPENT_AT_LEAST_ONE_POINT_OF_PRODUCTION_FOCUS_POINTS = 
#NO_PRODUCTION_COMPANY_SELECTED                              = 
#PRODUCTION_SETUP_NOT_DONE                                   = 
#PRODUCTION_SETUP_INCOMPLETE                                 = 
#CAST_INCOMPLETE                                             = 
#EPISODES_NOT_IN_ORDER                                       = 
#PRODUCTION_CONCEPTS                                         = 
#PRODUCTION_DEPOSIT_PAID                                     = 

#SELECT_PERSON      = 
#FINISHED_PLANNING  = 
#FINISH_PLANNING    = 
#AND_PAY_DOWN_MONEY = 
#PLANNING           = 
#MONEY_TO_PAY_DOWN  = 
#TAKE_OVER_SETTINGS = 
#PRODUCTION_COMPANY = 
#EDIT_TEXTS         = 
#TITLE              = 
#DESCRIPTION        = 
#EPISODE            = 
#ABBREVIATION_YEARS = 

STUDIO_MANAGER         = Responsable du studio
STUDIO_MANAGER_TOOLTIP = Donne des informations sur la production et fournit les listes de courses

THE_LICENCE_OF_X_IS_NOW_AT_YOUR_DISPOSAL = La licence "%TITLE%" est à votre disposition.
THE_LIVE_PRODUCTION_OF_X_JUST_FINISHED   = La production de %TITLE% vient de s'achever.
TOTAL_PRODUCTION_COSTS_WERE_X            = La production a coûté %TOTALCOST%.
