MALE      = homem
#DIALOGUE_STUDIO_CURRENTPRODUCTION_INFORMATION_X_PREPRODUCTIONS_PLANNED_AND_Y_PREPRODUCTIONS_DONE = 

DIALOGUE_STUDIO_START_PRODUCTION                    = Começar produção
#DIALOGUE_STUDIO_START_PREPRODUCTION                 = 
DIALOGUE_STUDIO_START_ALL_X_POSSIBLE_PRODUCTIONS    = Começar todas as produções possíveis (%X%).
#DIALOGUE_STUDIO_START_NEXT_EPISODE                  = 
#DIALOGUE_STUDIO_START_ALL_X_POSSIBLE_PREPRODUCTIONS = 
DIALOGUE_STUDIO_ASK_FOR_ANOTHER_SHOPPINGLIST        = Preciso de outra lista de compras para esse roteiro.
DIALOGUE_STUDIO_ASK_FOR_A_SHOPPINGLIST              = Preciso de uma lista de compras para esse roteiro.
DIALOGUE_STUDIO_GOODBYE1                            = Tchau.
DIALOGUE_STUDIO_GOODBYE2                            = Adeus.

#DIALOGUE_STUDIO_CONCEPT_INTRO_FOR_TITLEX                   = 
#DIALOGUE_STUDIO_CONCEPT_UNPLANNED_FOR_TITLEX               = 
#DIALOGUE_STUDIO_CONCEPT_SCRIPT_GENRE_BAD1                  = 
#DIALOGUE_STUDIO_CONCEPT_SCRIPT_GENRE_BAD2                  = 
#DIALOGUE_STUDIO_CONCEPT_SCRIPT_GENRE_AVERAGE1              = 
#DIALOGUE_STUDIO_CONCEPT_SCRIPT_GENRE_GOOD1                 = 
#DIALOGUE_STUDIO_CONCEPT_CAST_BAD_CASTSYMPATHY_BAD1         = 
#DIALOGUE_STUDIO_CONCEPT_CAST_BAD_CASTSYMPATHY_AVERAGE1     = 
#DIALOGUE_STUDIO_CONCEPT_CAST_BAD_CASTSYMPATHY_GOOD1        = 
#DIALOGUE_STUDIO_CONCEPT_CAST_AVERAGE_CASTSYMPATHY_BAD1     = 
#DIALOGUE_STUDIO_CONCEPT_CAST_AVERAGE_CASTSYMPATHY_AVERAGE1 = 
#DIALOGUE_STUDIO_CONCEPT_CAST_AVERAGE_CASTSYMPATHY_GOOD1    = 
#DIALOGUE_STUDIO_CONCEPT_CAST_GOOD_CASTSYMPATHY_BAD1        = 
#DIALOGUE_STUDIO_CONCEPT_CAST_GOOD_CASTSYMPATHY_AVERAGE1    = 
#DIALOGUE_STUDIO_CONCEPT_CAST_GOOD_CASTSYMPATHY_GOOD1       = 
#DIALOGUE_STUDIO_CONCEPT_PRODUCTIONCOMPANY_BAD1             = 
#DIALOGUE_STUDIO_CONCEPT_PRODUCTIONCOMPANY_AVERAGE1         = 
#DIALOGUE_STUDIO_CONCEPT_PRODUCTIONCOMPANY_GOOD1            = 
#DIALOGUE_STUDIO_CONCEPT_EFFECTIVEFOCUSPOINTSRATIO_BAD1     = 
#DIALOGUE_STUDIO_CONCEPT_EFFECTIVEFOCUSPOINTSRATIO_AVERAGE1 = 
#DIALOGUE_STUDIO_CONCEPT_EFFECTIVEFOCUSPOINTSRATIO_GOOD1    = 

#PLANNED_LIVE_TIMESPAN_TODAY_FROM_X_OCLOCK     = 
#PLANNED_LIVE_TIMESPAN_TOMORROW_FROM_X_OCLOCK  = 
#PLANNED_LIVE_TIMESPAN_IN_Y_DAYS_FROM_X_OCLOCK = 
#PLANNED_LIVE_TIME_TODAY_FROM_X_OCLOCK         = 
#PLANNED_LIVE_TIME_TOMORROW_FROM_X_OCLOCK      = 
#PLANNED_LIVE_TIME_IN_Y_DAYS_FROM_X_OCLOCK     = 

CLICK_TO_SELECT_PERSON = Clique para selecionar a Pessoa
TOUCH_TO_SELECT_PERSON = Toque para selecionar a Pessoa

COULISSE             = Bastidores
OUTFIT_AND_MASK      = Roupas / máscaras
STUNTS               = Dublês
VFX_AND_SFX          = VFX / SFX
TEAM                 = Equipe (Técnicos, etc.)
PRODUCTION_SPEED     = Velocidade da produção
PRODUCTION_POTENTIAL = Potencial
SCRIPT_POTENTIAL     = Potencial

PRODUCTION         = Produção
TOTAL_COSTS        = Custos totais
DURATION           = Duração
SUBHEADING         = Subtítulo
PRODUCTION_DETAILS = Detalhes da produção
PRODUCTION_FOCUS   = Foco da produção
#IN_PRODUCTION      = 

POINTSSET_OF_POINTSMAX_POINTS_SET                           = %POINTSSET%/%POINTSMAX% pontos atribuídos
PRODUCTION_FOCUS_POINTS_NOT_SET_COMPLETELY                  = Pontos de foco de produção ainda não atribuídos por completo
NEED_TO_SPENT_AT_LEAST_ONE_POINT_OF_PRODUCTION_FOCUS_POINTS = Ao menos um ponto deve ser gasto com pontos de foco
NO_PRODUCTION_COMPANY_SELECTED                              = Nenhuma companhia de produção selecionada
PRODUCTION_SETUP_NOT_DONE                                   = Configuração de produção ainda não finalizada
PRODUCTION_SETUP_INCOMPLETE                                 = Configuração de produção incompleta
#CAST_INCOMPLETE                                             = 
EPISODES_NOT_IN_ORDER                                       = Episódios não estão em ordem
PRODUCTION_CONCEPTS                                         = Listas de compra
#PRODUCTION_DEPOSIT_PAID                                     = 

SELECT_PERSON      = Selecione a pessoa
FINISHED_PLANNING  = Planejamento finalizado
FINISH_PLANNING    = Finalizar planejamento
AND_PAY_DOWN_MONEY = e pagar %money%
PLANNING           = Programando ...
MONEY_TO_PAY_DOWN  = %money% a pagar
TAKE_OVER_SETTINGS = Aceitar configurações
PRODUCTION_COMPANY = Companhia de produção
EDIT_TEXTS         = Editar textos
TITLE              = Título
DESCRIPTION        = Descrição
EPISODE            = Episódio
#ABBREVIATION_YEARS = 

STUDIO_MANAGER         = Gerente de estúdio
STUDIO_MANAGER_TOOLTIP = Fornece informações sobre a produção e entrega novas listas de compras

THE_LICENCE_OF_X_IS_NOW_AT_YOUR_DISPOSAL = A licença de "%TITLE%" agora se encontra à sua disposição.
#THE_LIVE_PRODUCTION_OF_X_JUST_FINISHED   =
#TOTAL_PRODUCTION_COSTS_WERE_X            = 
