LANGUAGE_NAME_INTERNATIONAL = Español
LANGUAGE_NAME_LOCALE        = Español
#SHOW_INTRODUCTORY_GUIDES = 

ERROR_NOT_POSSIBLE                  = No es posible!
ERROR_NOT_ABLE_TO_SELL_LAST_STATION = No es posible vender la última estación.
ERROR_NOT_ENOUGH_MONEY              = Dinero insuficiente!
ERROR_NOT_ENOUGH_MONEY_TEXT         = Usted no posee suficiente dinero para terminar esta acción.

#NEWGAMESETTINGS_RANDOMIZE          =
#NEWGAMESETTINGS_RANDOMIZE_DETAIL   =
#NEWGAMESETTINGS_CHANNELNAME_DETAIL = 
#NEWGAMESETTINGS_PLAYERNAME_DETAIL  = 
#NEWGAMESETTINGS_DIFFICULTY         = 
#NEWGAMESETTINGS_DIFFICULTY_DETAIL  = 
#NEWGAMESETTINGS_START_YEAR_DETAIL  = 
#NEWGAMESETTINGS_GAME_SEED          = 
#NEWGAMESETTINGS_GAME_SEED_DETAIL   = 

#MESSAGE_CLOSES_AT_TIME = 
#MESSAGE_CLOSES_AT_DAY  = 


HINT_PRESSING_ALT_WILL_SHOW_DETAILS    = Pulsa la tecla "ALT" para mostrar detalles.
#HINT_PRESSING_ALT_WILL_FIX_TOOLTIP     = 
#HINT_PRESSING_ALT_WILL_RELEASE_TOOLTIP = 
HINT_PROGRAMMEPLANER_SHORTCUTS         = ALT: interruptor ficha técnica | CTRL+Click: Copiar Programa | SHIFT+Click: Siguiente espisodio.
HINT                                   = Hint

STARTHINT_TITLE1 = Plan de programa
STARTHINT_TEXT1  = La tecla CTRL Permite insertar un programa varias veces en su planificación. Mientras que la tecla SHIFT trata de colocar el próximo episodio de una serie.
STARTHINT_TITLE2 = Plan de programación
STARTHINT_TEXT2  = El éxito de una emisión se basa en gran medida de la calidad/calificación de los programas. Tan importante es el tiempo de emisión del programa, la popularidad del género, el público del programa y la cantidad de trailers emitidos. La calidad de los programas de noticias y otros factores juegan un papel importante.\n\nLos Programas de determinados géneros como la comedia puede ser transmitido con más de frecuencia que otros géneros, manteniendo la mayor parte de su actualidad.
STARTHINT_TITLE3 = Contratos publicitarios
STARTHINT_TEXT3  = Ad contracts have defined requirements to the minimum audience. This and of course profits/penalties are directly attached to the maximum audience a channel can reach currently.\n\nTherefore it is sometimes better to sign new contracts right before buying new stations.
